buffer 8.0 GiB, cores online 128
GB/s; SEQ = in-order chunks, RAND = shuffled chunks (what query-aware selection actually does)

=== chunk 4KiB   (1 tok x 1 layer) ===
 threads        SEQ       RAND   RAND/SEQ
       1        9.9        7.2      0.73
       2       19.3       14.2      0.74
       4       37.4       27.4      0.73
       8       66.7       51.3      0.77
      16      102.6       85.2      0.83
      32       97.8       86.6      0.88
      64      155.7       98.7      0.63
     128      111.5      100.6      0.90

=== chunk 128KiB (32 tok block) ===
 threads        SEQ       RAND   RAND/SEQ
       1        9.8        9.8      1.00
       2       19.5       19.1      0.98
       4       37.5       36.6      0.98
       8       67.1       66.5      0.99
      16      102.4      102.4      1.00
      32      105.8      105.5      1.00
      64      106.3      104.1      0.98
     128      112.3      110.6      0.98

=== chunk 1MiB   (256 tok block) ===
 threads        SEQ       RAND   RAND/SEQ
       1       10.0        9.8      0.99
       2       19.1       18.3      0.96
       4       35.6       36.1      1.01
       8       65.4       64.7      0.99
      16       97.7       99.8      1.02
      32       95.8      103.3      1.08
      64      119.0      119.8      1.01
     128      107.9      109.4      1.01
