buffer 8.0 GiB, cores online 128
GB/s; SEQ = in-order chunks, RAND = shuffled chunks (what query-aware selection actually does)

=== chunk 4KiB   (1 tok x 1 layer) ===
 threads        SEQ       RAND   RAND/SEQ
       1       12.5        8.6      0.69
       2       23.9       16.7      0.70
       4       43.1       31.1      0.72
       8       68.9       52.3      0.76
      16       79.2       64.2      0.81
      32       83.2       68.9      0.83
      64       84.5       71.5      0.85
     128       83.7       71.8      0.86

=== chunk 128KiB (32 tok block) ===
 threads        SEQ       RAND   RAND/SEQ
       1       13.4       12.8      0.96
       2       24.1       24.5      1.01
       4       43.1       43.9      1.02
       8       69.3       69.5      1.00
      16       78.8       77.7      0.99
      32       82.9       81.2      0.98
      64       85.6       84.2      0.98
     128       84.4       84.2      1.00

=== chunk 1MiB   (256 tok block) ===
 threads        SEQ       RAND   RAND/SEQ
       1       13.3       13.2      0.99
       2       24.3       24.8      1.02
       4       43.4       44.7      1.03
       8       69.6       69.7      1.00
      16       79.6       79.3      1.00
      32       84.5       84.8      1.00
      64       86.2       86.0      1.00
     128       84.7       83.5      0.99
