buffer 8.0 GiB, cores online 128
GB/s; SEQ = in-order chunks, RAND = shuffled chunks (what query-aware selection actually does)

=== chunk 4KiB   (1 tok x 1 layer) ===
 threads        SEQ       RAND   RAND/SEQ
       1       13.0        8.9      0.69
       2       24.2       16.7      0.69
       4       43.0       31.4      0.73
       8       65.6       50.7      0.77
      16       82.0       66.6      0.81
      32       81.4       67.5      0.83
      64       78.3       67.4      0.86
     128       78.7       67.4      0.86

=== chunk 128KiB (32 tok block) ===
 threads        SEQ       RAND   RAND/SEQ
       1       12.0       12.0      1.00
       2       23.0       22.8      0.99
       4       40.8       41.9      1.03
       8       65.8       66.4      1.01
      16       84.9       85.5      1.01
      32       81.6       82.7      1.01
      64       83.3       82.0      0.98
     128       78.7       72.3      0.92

=== chunk 1MiB   (256 tok block) ===
 threads        SEQ       RAND   RAND/SEQ
       1       11.9       12.5      1.05
       2       23.1       23.1      1.00
       4       41.5       42.1      1.01
       8       67.2       67.0      1.00
      16       85.6       85.6      1.00
      32       83.0       82.3      0.99
      64       81.1       81.1      1.00
     128       68.9       67.8      0.98
