threshold,layer,kv_head,action,selected_budget,budget_fraction,quality,direct_val_r2,fitv_val_r2,reason
0.88,0,0,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,0,1,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,0,2,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,0,3,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,0,4,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,0,5,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,0,6,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,0,7,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,1,0,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,1,1,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,1,2,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,1,3,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,1,4,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,1,5,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,1,6,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,1,7,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,2,0,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,2,1,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,2,2,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,2,3,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,2,4,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,2,5,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,2,6,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,2,7,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,3,0,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,3,1,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,3,2,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,3,3,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,3,4,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,3,5,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,3,6,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,3,7,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,4,0,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,4,1,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,4,2,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,4,3,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,4,4,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,4,5,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,4,6,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,4,7,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,5,0,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,5,1,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,5,2,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,5,3,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,5,4,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,5,5,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,5,6,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,5,7,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,6,0,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,6,1,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,6,2,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,6,3,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,6,4,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,6,5,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,6,6,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,6,7,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,7,0,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,7,1,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,7,2,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,7,3,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,7,4,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,7,5,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,7,6,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,7,7,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,8,0,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,8,1,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,8,2,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,8,3,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,8,4,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,8,5,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,8,6,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,8,7,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,9,0,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,9,1,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,9,2,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,9,3,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,9,4,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,9,5,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,9,6,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,9,7,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,10,0,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,10,1,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,10,2,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,10,3,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,10,4,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,10,5,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,10,6,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,10,7,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,11,0,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,11,1,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,11,2,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,11,3,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,11,4,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,11,5,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,11,6,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,11,7,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,12,0,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,12,1,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,12,2,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,12,3,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,12,4,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,12,5,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,12,6,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,12,7,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,13,0,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,13,1,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,13,2,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,13,3,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,13,4,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,13,5,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,13,6,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,13,7,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,14,0,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,14,1,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,14,2,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,14,3,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,14,4,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,14,5,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,14,6,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,14,7,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,15,0,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,15,1,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,15,2,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,15,3,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,15,4,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,15,5,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,15,6,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,15,7,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,16,0,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,16,1,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,16,2,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,16,3,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,16,4,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,16,5,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,16,6,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,16,7,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,17,0,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,17,1,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,17,2,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,17,3,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,17,4,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,17,5,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,17,6,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,17,7,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,18,0,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,18,1,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,18,2,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,18,3,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,18,4,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,18,5,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,18,6,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,18,7,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,19,0,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,19,1,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,19,2,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,19,3,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,19,4,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,19,5,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,19,6,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,19,7,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,20,0,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,20,1,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,20,2,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,20,3,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,20,4,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,20,5,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,20,6,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,20,7,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,21,0,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,21,1,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,21,2,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,21,3,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,21,4,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,21,5,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,21,6,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,21,7,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,22,0,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
0.88,22,1,compact,768,0.5,0,,,all_layer_2x_recovery_task_policy
