threshold,layer,kv_head,action,selected_budget,budget_fraction,quality,direct_val_r2,fitv_val_r2,reason
0.79,0,0,full,1536,1,1,,,not_target_layer
0.79,0,1,full,1536,1,1,,,not_target_layer
0.79,0,2,full,1536,1,1,,,not_target_layer
0.79,0,3,full,1536,1,1,,,not_target_layer
0.79,0,4,full,1536,1,1,,,not_target_layer
0.79,0,5,full,1536,1,1,,,not_target_layer
0.79,0,6,full,1536,1,1,,,not_target_layer
0.79,0,7,full,1536,1,1,,,not_target_layer
0.79,1,0,full,1536,1,1,,,not_target_layer
0.79,1,1,full,1536,1,1,,,not_target_layer
0.79,1,2,full,1536,1,1,,,not_target_layer
0.79,1,3,full,1536,1,1,,,not_target_layer
0.79,1,4,full,1536,1,1,,,not_target_layer
0.79,1,5,full,1536,1,1,,,not_target_layer
0.79,1,6,full,1536,1,1,,,not_target_layer
0.79,1,7,full,1536,1,1,,,not_target_layer
0.79,2,0,full,1536,1,1,,,not_target_layer
0.79,2,1,full,1536,1,1,,,not_target_layer
0.79,2,2,full,1536,1,1,,,not_target_layer
0.79,2,3,full,1536,1,1,,,not_target_layer
0.79,2,4,full,1536,1,1,,,not_target_layer
0.79,2,5,full,1536,1,1,,,not_target_layer
0.79,2,6,full,1536,1,1,,,not_target_layer
0.79,2,7,full,1536,1,1,,,not_target_layer
0.79,3,0,full,1536,1,1,,,not_target_layer
0.79,3,1,full,1536,1,1,,,not_target_layer
0.79,3,2,full,1536,1,1,,,not_target_layer
0.79,3,3,full,1536,1,1,,,not_target_layer
0.79,3,4,full,1536,1,1,,,not_target_layer
0.79,3,5,full,1536,1,1,,,not_target_layer
0.79,3,6,full,1536,1,1,,,not_target_layer
0.79,3,7,full,1536,1,1,,,not_target_layer
0.79,4,0,full,1536,1,1,,,not_target_layer
0.79,4,1,full,1536,1,1,,,not_target_layer
0.79,4,2,full,1536,1,1,,,not_target_layer
0.79,4,3,full,1536,1,1,,,not_target_layer
0.79,4,4,full,1536,1,1,,,not_target_layer
0.79,4,5,full,1536,1,1,,,not_target_layer
0.79,4,6,full,1536,1,1,,,not_target_layer
0.79,4,7,full,1536,1,1,,,not_target_layer
0.79,5,0,full,1536,1,1,,,not_target_layer
0.79,5,1,full,1536,1,1,,,not_target_layer
0.79,5,2,full,1536,1,1,,,not_target_layer
0.79,5,3,full,1536,1,1,,,not_target_layer
0.79,5,4,full,1536,1,1,,,not_target_layer
0.79,5,5,full,1536,1,1,,,not_target_layer
0.79,5,6,full,1536,1,1,,,not_target_layer
0.79,5,7,full,1536,1,1,,,not_target_layer
0.79,6,0,full,1536,1,1,,,not_target_layer
0.79,6,1,full,1536,1,1,,,not_target_layer
0.79,6,2,full,1536,1,1,,,not_target_layer
0.79,6,3,full,1536,1,1,,,not_target_layer
0.79,6,4,full,1536,1,1,,,not_target_layer
0.79,6,5,full,1536,1,1,,,not_target_layer
0.79,6,6,full,1536,1,1,,,not_target_layer
0.79,6,7,full,1536,1,1,,,not_target_layer
0.79,7,0,full,1536,1,1,,,not_target_layer
0.79,7,1,full,1536,1,1,,,not_target_layer
0.79,7,2,full,1536,1,1,,,not_target_layer
0.79,7,3,full,1536,1,1,,,not_target_layer
0.79,7,4,full,1536,1,1,,,not_target_layer
0.79,7,5,full,1536,1,1,,,not_target_layer
0.79,7,6,full,1536,1,1,,,not_target_layer
0.79,7,7,full,1536,1,1,,,not_target_layer
0.79,8,0,full,1536,1,1,,,not_target_layer
0.79,8,1,full,1536,1,1,,,not_target_layer
0.79,8,2,full,1536,1,1,,,not_target_layer
0.79,8,3,full,1536,1,1,,,not_target_layer
0.79,8,4,full,1536,1,1,,,not_target_layer
0.79,8,5,full,1536,1,1,,,not_target_layer
0.79,8,6,full,1536,1,1,,,not_target_layer
0.79,8,7,full,1536,1,1,,,not_target_layer
0.79,9,0,full,1536,1,1,,,not_target_layer
0.79,9,1,full,1536,1,1,,,not_target_layer
0.79,9,2,full,1536,1,1,,,not_target_layer
0.79,9,3,full,1536,1,1,,,not_target_layer
0.79,9,4,full,1536,1,1,,,not_target_layer
0.79,9,5,full,1536,1,1,,,not_target_layer
0.79,9,6,full,1536,1,1,,,not_target_layer
0.79,9,7,full,1536,1,1,,,not_target_layer
0.79,10,0,full,1536,1,1,,,not_target_layer
0.79,10,1,full,1536,1,1,,,not_target_layer
0.79,10,2,full,1536,1,1,,,not_target_layer
0.79,10,3,full,1536,1,1,,,not_target_layer
0.79,10,4,full,1536,1,1,,,not_target_layer
0.79,10,5,full,1536,1,1,,,not_target_layer
0.79,10,6,full,1536,1,1,,,not_target_layer
0.79,10,7,full,1536,1,1,,,not_target_layer
0.79,11,0,full,1536,1,1,,,not_target_layer
0.79,11,1,full,1536,1,1,,,not_target_layer
0.79,11,2,full,1536,1,1,,,not_target_layer
0.79,11,3,full,1536,1,1,,,not_target_layer
0.79,11,4,full,1536,1,1,,,not_target_layer
0.79,11,5,full,1536,1,1,,,not_target_layer
0.79,11,6,full,1536,1,1,,,not_target_layer
0.79,11,7,full,1536,1,1,,,not_target_layer
0.79,12,0,full,1536,1,1,,,not_target_layer
0.79,12,1,full,1536,1,1,,,not_target_layer
0.79,12,2,full,1536,1,1,,,not_target_layer
0.79,12,3,full,1536,1,1,,,not_target_layer
0.79,12,4,full,1536,1,1,,,not_target_layer
0.79,12,5,full,1536,1,1,,,not_target_layer
0.79,12,6,full,1536,1,1,,,not_target_layer
0.79,12,7,full,1536,1,1,,,not_target_layer
0.79,13,0,full,1536,1,1,,,not_target_layer
0.79,13,1,full,1536,1,1,,,not_target_layer
0.79,13,2,full,1536,1,1,,,not_target_layer
0.79,13,3,full,1536,1,1,,,not_target_layer
0.79,13,4,full,1536,1,1,,,not_target_layer
0.79,13,5,full,1536,1,1,,,not_target_layer
0.79,13,6,full,1536,1,1,,,not_target_layer
0.79,13,7,full,1536,1,1,,,not_target_layer
0.79,14,0,full,1536,1,1,,,not_target_layer
0.79,14,1,full,1536,1,1,,,not_target_layer
0.79,14,2,full,1536,1,1,,,not_target_layer
0.79,14,3,full,1536,1,1,,,not_target_layer
0.79,14,4,full,1536,1,1,,,not_target_layer
0.79,14,5,full,1536,1,1,,,not_target_layer
0.79,14,6,full,1536,1,1,,,not_target_layer
0.79,14,7,full,1536,1,1,,,not_target_layer
0.79,15,0,full,1536,1,1,,,not_target_layer
0.79,15,1,full,1536,1,1,,,not_target_layer
0.79,15,2,full,1536,1,1,,,not_target_layer
0.79,15,3,full,1536,1,1,,,not_target_layer
0.79,15,4,full,1536,1,1,,,not_target_layer
0.79,15,5,full,1536,1,1,,,not_target_layer
0.79,15,6,full,1536,1,1,,,not_target_layer
