threshold,layer,kv_head,action,selected_budget,budget_fraction,quality,direct_val_r2,fitv_val_r2,reason
0.77,0,0,full,1536,1,1,,,not_target_layer
0.77,0,1,full,1536,1,1,,,not_target_layer
0.77,0,2,full,1536,1,1,,,not_target_layer
0.77,0,3,full,1536,1,1,,,not_target_layer
0.77,0,4,full,1536,1,1,,,not_target_layer
0.77,0,5,full,1536,1,1,,,not_target_layer
0.77,0,6,full,1536,1,1,,,not_target_layer
0.77,0,7,full,1536,1,1,,,not_target_layer
0.77,1,0,full,1536,1,1,,,not_target_layer
0.77,1,1,full,1536,1,1,,,not_target_layer
0.77,1,2,full,1536,1,1,,,not_target_layer
0.77,1,3,full,1536,1,1,,,not_target_layer
0.77,1,4,full,1536,1,1,,,not_target_layer
0.77,1,5,full,1536,1,1,,,not_target_layer
0.77,1,6,full,1536,1,1,,,not_target_layer
0.77,1,7,full,1536,1,1,,,not_target_layer
0.77,2,0,full,1536,1,1,,,not_target_layer
0.77,2,1,full,1536,1,1,,,not_target_layer
0.77,2,2,full,1536,1,1,,,not_target_layer
0.77,2,3,full,1536,1,1,,,not_target_layer
0.77,2,4,full,1536,1,1,,,not_target_layer
0.77,2,5,full,1536,1,1,,,not_target_layer
0.77,2,6,full,1536,1,1,,,not_target_layer
0.77,2,7,full,1536,1,1,,,not_target_layer
0.77,3,0,full,1536,1,1,,,not_target_layer
0.77,3,1,full,1536,1,1,,,not_target_layer
0.77,3,2,full,1536,1,1,,,not_target_layer
0.77,3,3,full,1536,1,1,,,not_target_layer
0.77,3,4,full,1536,1,1,,,not_target_layer
0.77,3,5,full,1536,1,1,,,not_target_layer
0.77,3,6,full,1536,1,1,,,not_target_layer
0.77,3,7,full,1536,1,1,,,not_target_layer
0.77,4,0,full,1536,1,1,,,not_target_layer
0.77,4,1,full,1536,1,1,,,not_target_layer
0.77,4,2,full,1536,1,1,,,not_target_layer
0.77,4,3,full,1536,1,1,,,not_target_layer
0.77,4,4,full,1536,1,1,,,not_target_layer
0.77,4,5,full,1536,1,1,,,not_target_layer
0.77,4,6,full,1536,1,1,,,not_target_layer
0.77,4,7,full,1536,1,1,,,not_target_layer
0.77,5,0,full,1536,1,1,,,not_target_layer
0.77,5,1,full,1536,1,1,,,not_target_layer
0.77,5,2,full,1536,1,1,,,not_target_layer
0.77,5,3,full,1536,1,1,,,not_target_layer
0.77,5,4,full,1536,1,1,,,not_target_layer
0.77,5,5,full,1536,1,1,,,not_target_layer
0.77,5,6,full,1536,1,1,,,not_target_layer
0.77,5,7,full,1536,1,1,,,not_target_layer
0.77,6,0,full,1536,1,1,,,not_target_layer
0.77,6,1,full,1536,1,1,,,not_target_layer
0.77,6,2,full,1536,1,1,,,not_target_layer
0.77,6,3,full,1536,1,1,,,not_target_layer
0.77,6,4,full,1536,1,1,,,not_target_layer
0.77,6,5,full,1536,1,1,,,not_target_layer
0.77,6,6,full,1536,1,1,,,not_target_layer
0.77,6,7,full,1536,1,1,,,not_target_layer
0.77,7,0,full,1536,1,1,,,not_target_layer
0.77,7,1,full,1536,1,1,,,not_target_layer
0.77,7,2,full,1536,1,1,,,not_target_layer
0.77,7,3,full,1536,1,1,,,not_target_layer
0.77,7,4,full,1536,1,1,,,not_target_layer
0.77,7,5,full,1536,1,1,,,not_target_layer
0.77,7,6,full,1536,1,1,,,not_target_layer
0.77,7,7,full,1536,1,1,,,not_target_layer
0.77,8,0,full,1536,1,1,,,not_target_layer
0.77,8,1,full,1536,1,1,,,not_target_layer
0.77,8,2,full,1536,1,1,,,not_target_layer
0.77,8,3,full,1536,1,1,,,not_target_layer
0.77,8,4,full,1536,1,1,,,not_target_layer
0.77,8,5,full,1536,1,1,,,not_target_layer
0.77,8,6,full,1536,1,1,,,not_target_layer
0.77,8,7,full,1536,1,1,,,not_target_layer
0.77,9,0,full,1536,1,1,,,not_target_layer
0.77,9,1,full,1536,1,1,,,not_target_layer
0.77,9,2,full,1536,1,1,,,not_target_layer
0.77,9,3,full,1536,1,1,,,not_target_layer
0.77,9,4,full,1536,1,1,,,not_target_layer
0.77,9,5,full,1536,1,1,,,not_target_layer
0.77,9,6,full,1536,1,1,,,not_target_layer
0.77,9,7,full,1536,1,1,,,not_target_layer
0.77,10,0,full,1536,1,1,,,not_target_layer
0.77,10,1,full,1536,1,1,,,not_target_layer
0.77,10,2,full,1536,1,1,,,not_target_layer
0.77,10,3,full,1536,1,1,,,not_target_layer
0.77,10,4,full,1536,1,1,,,not_target_layer
0.77,10,5,full,1536,1,1,,,not_target_layer
0.77,10,6,full,1536,1,1,,,not_target_layer
0.77,10,7,full,1536,1,1,,,not_target_layer
0.77,11,0,full,1536,1,1,,,not_target_layer
0.77,11,1,full,1536,1,1,,,not_target_layer
0.77,11,2,full,1536,1,1,,,not_target_layer
0.77,11,3,full,1536,1,1,,,not_target_layer
0.77,11,4,full,1536,1,1,,,not_target_layer
0.77,11,5,full,1536,1,1,,,not_target_layer
