threshold,layer,kv_head,action,selected_budget,budget_fraction,quality,direct_val_r2,fitv_val_r2,reason
0.95,0,0,full,1536,1,1,,,not_target_layer
0.95,0,1,full,1536,1,1,,,not_target_layer
0.95,0,2,full,1536,1,1,,,not_target_layer
0.95,0,3,full,1536,1,1,,,not_target_layer
0.95,0,4,full,1536,1,1,,,not_target_layer
0.95,0,5,full,1536,1,1,,,not_target_layer
0.95,0,6,full,1536,1,1,,,not_target_layer
0.95,0,7,full,1536,1,1,,,not_target_layer
0.95,1,0,full,1536,1,1,,,not_target_layer
0.95,1,1,full,1536,1,1,,,not_target_layer
0.95,1,2,full,1536,1,1,,,not_target_layer
0.95,1,3,full,1536,1,1,,,not_target_layer
0.95,1,4,full,1536,1,1,,,not_target_layer
0.95,1,5,full,1536,1,1,,,not_target_layer
0.95,1,6,full,1536,1,1,,,not_target_layer
0.95,1,7,full,1536,1,1,,,not_target_layer
0.95,2,0,full,1536,1,1,,,not_target_layer
0.95,2,1,full,1536,1,1,,,not_target_layer
0.95,2,2,full,1536,1,1,,,not_target_layer
0.95,2,3,full,1536,1,1,,,not_target_layer
0.95,2,4,full,1536,1,1,,,not_target_layer
0.95,2,5,full,1536,1,1,,,not_target_layer
0.95,2,6,full,1536,1,1,,,not_target_layer
0.95,2,7,full,1536,1,1,,,not_target_layer
0.95,3,0,full,1536,1,1,,,not_target_layer
0.95,3,1,full,1536,1,1,,,not_target_layer
0.95,3,2,full,1536,1,1,,,not_target_layer
0.95,3,3,full,1536,1,1,,,not_target_layer
0.95,3,4,full,1536,1,1,,,not_target_layer
0.95,3,5,full,1536,1,1,,,not_target_layer
0.95,3,6,full,1536,1,1,,,not_target_layer
0.95,3,7,full,1536,1,1,,,not_target_layer
0.95,4,0,full,1536,1,1,,,not_target_layer
0.95,4,1,full,1536,1,1,,,not_target_layer
0.95,4,2,full,1536,1,1,,,not_target_layer
0.95,4,3,full,1536,1,1,,,not_target_layer
0.95,4,4,full,1536,1,1,,,not_target_layer
0.95,4,5,full,1536,1,1,,,not_target_layer
0.95,4,6,full,1536,1,1,,,not_target_layer
0.95,4,7,full,1536,1,1,,,not_target_layer
0.95,5,0,full,1536,1,1,,,not_target_layer
0.95,5,1,full,1536,1,1,,,not_target_layer
0.95,5,2,full,1536,1,1,,,not_target_layer
0.95,5,3,full,1536,1,1,,,not_target_layer
0.95,5,4,full,1536,1,1,,,not_target_layer
0.95,5,5,full,1536,1,1,,,not_target_layer
0.95,5,6,full,1536,1,1,,,not_target_layer
0.95,5,7,full,1536,1,1,,,not_target_layer
0.95,6,0,full,1536,1,1,,,not_target_layer
0.95,6,1,full,1536,1,1,,,not_target_layer
0.95,6,2,full,1536,1,1,,,not_target_layer
0.95,6,3,full,1536,1,1,,,not_target_layer
0.95,6,4,full,1536,1,1,,,not_target_layer
0.95,6,5,full,1536,1,1,,,not_target_layer
0.95,6,6,full,1536,1,1,,,not_target_layer
0.95,6,7,full,1536,1,1,,,not_target_layer
0.95,7,0,full,1536,1,1,,,not_target_layer
0.95,7,1,full,1536,1,1,,,not_target_layer
0.95,7,2,full,1536,1,1,,,not_target_layer
0.95,7,3,full,1536,1,1,,,not_target_layer
0.95,7,4,full,1536,1,1,,,not_target_layer
0.95,7,5,full,1536,1,1,,,not_target_layer
0.95,7,6,full,1536,1,1,,,not_target_layer
0.95,7,7,full,1536,1,1,,,not_target_layer
0.95,8,0,full,1536,1,1,,,not_target_layer
0.95,8,1,compact,768,0.5,0,,,14-head safe frontier plus candidate 20:7 at 50% per-head budget.
0.95,8,2,full,1536,1,1,,,not_target_layer
0.95,8,3,full,1536,1,1,,,not_target_layer
0.95,8,4,full,1536,1,1,,,not_target_layer
0.95,8,5,full,1536,1,1,,,not_target_layer
0.95,8,6,full,1536,1,1,,,not_target_layer
0.95,8,7,full,1536,1,1,,,not_target_layer
0.95,9,0,full,1536,1,1,,,not_target_layer
0.95,9,1,full,1536,1,1,,,not_target_layer
0.95,9,2,full,1536,1,1,,,not_target_layer
0.95,9,3,full,1536,1,1,,,not_target_layer
0.95,9,4,full,1536,1,1,,,not_target_layer
