threshold,layer,kv_head,action,selected_budget,budget_fraction,quality,direct_val_r2,fitv_val_r2,reason
0.951,0,0,full,1536,1,1,,,not_target_layer
0.951,0,1,full,1536,1,1,,,not_target_layer
0.951,0,2,full,1536,1,1,,,not_target_layer
0.951,0,3,full,1536,1,1,,,not_target_layer
0.951,0,4,full,1536,1,1,,,not_target_layer
0.951,0,5,full,1536,1,1,,,not_target_layer
0.951,0,6,full,1536,1,1,,,not_target_layer
0.951,0,7,full,1536,1,1,,,not_target_layer
0.951,1,0,full,1536,1,1,,,not_target_layer
0.951,1,1,full,1536,1,1,,,not_target_layer
0.951,1,2,full,1536,1,1,,,not_target_layer
0.951,1,3,full,1536,1,1,,,not_target_layer
0.951,1,4,full,1536,1,1,,,not_target_layer
0.951,1,5,full,1536,1,1,,,not_target_layer
0.951,1,6,full,1536,1,1,,,not_target_layer
0.951,1,7,full,1536,1,1,,,not_target_layer
0.951,2,0,full,1536,1,1,,,not_target_layer
0.951,2,1,full,1536,1,1,,,not_target_layer
0.951,2,2,full,1536,1,1,,,not_target_layer
0.951,2,3,full,1536,1,1,,,not_target_layer
0.951,2,4,full,1536,1,1,,,not_target_layer
0.951,2,5,full,1536,1,1,,,not_target_layer
0.951,2,6,full,1536,1,1,,,not_target_layer
0.951,2,7,full,1536,1,1,,,not_target_layer
0.951,3,0,full,1536,1,1,,,not_target_layer
0.951,3,1,full,1536,1,1,,,not_target_layer
0.951,3,2,full,1536,1,1,,,not_target_layer
0.951,3,3,full,1536,1,1,,,not_target_layer
0.951,3,4,full,1536,1,1,,,not_target_layer
0.951,3,5,full,1536,1,1,,,not_target_layer
0.951,3,6,full,1536,1,1,,,not_target_layer
0.951,3,7,full,1536,1,1,,,not_target_layer
0.951,4,0,full,1536,1,1,,,not_target_layer
0.951,4,1,full,1536,1,1,,,not_target_layer
0.951,4,2,full,1536,1,1,,,not_target_layer
0.951,4,3,full,1536,1,1,,,not_target_layer
0.951,4,4,full,1536,1,1,,,not_target_layer
0.951,4,5,full,1536,1,1,,,not_target_layer
0.951,4,6,full,1536,1,1,,,not_target_layer
0.951,4,7,full,1536,1,1,,,not_target_layer
0.951,5,0,full,1536,1,1,,,not_target_layer
0.951,5,1,full,1536,1,1,,,not_target_layer
0.951,5,2,full,1536,1,1,,,not_target_layer
0.951,5,3,full,1536,1,1,,,not_target_layer
0.951,5,4,full,1536,1,1,,,not_target_layer
0.951,5,5,full,1536,1,1,,,not_target_layer
0.951,5,6,full,1536,1,1,,,not_target_layer
0.951,5,7,full,1536,1,1,,,not_target_layer
0.951,6,0,full,1536,1,1,,,not_target_layer
0.951,6,1,full,1536,1,1,,,not_target_layer
0.951,6,2,full,1536,1,1,,,not_target_layer
0.951,6,3,full,1536,1,1,,,not_target_layer
0.951,6,4,full,1536,1,1,,,not_target_layer
0.951,6,5,full,1536,1,1,,,not_target_layer
0.951,6,6,full,1536,1,1,,,not_target_layer
0.951,6,7,full,1536,1,1,,,not_target_layer
0.951,7,0,full,1536,1,1,,,not_target_layer
0.951,7,1,full,1536,1,1,,,not_target_layer
0.951,7,2,full,1536,1,1,,,not_target_layer
0.951,7,3,full,1536,1,1,,,not_target_layer
0.951,7,4,full,1536,1,1,,,not_target_layer
0.951,7,5,full,1536,1,1,,,not_target_layer
0.951,7,6,full,1536,1,1,,,not_target_layer
0.951,7,7,full,1536,1,1,,,not_target_layer
0.951,8,0,full,1536,1,1,,,not_target_layer
0.951,8,1,compact,768,0.5,0,,,15-head safe frontier plus candidate 8:3 at 50% per-head budget.
0.951,8,2,full,1536,1,1,,,not_target_layer
0.951,8,3,compact,768,0.5,0,,,15-head safe frontier plus candidate 8:3 at 50% per-head budget.
0.951,8,4,full,1536,1,1,,,not_target_layer
0.951,8,5,full,1536,1,1,,,not_target_layer
