threshold,layer,kv_head,action,selected_budget,budget_fraction,quality,direct_val_r2,fitv_val_r2,reason
0.931,0,0,full,1536,1,1,,,not_target_layer
0.931,0,1,full,1536,1,1,,,not_target_layer
0.931,0,2,full,1536,1,1,,,not_target_layer
0.931,0,3,full,1536,1,1,,,not_target_layer
0.931,0,4,full,1536,1,1,,,not_target_layer
0.931,0,5,full,1536,1,1,,,not_target_layer
0.931,0,6,full,1536,1,1,,,not_target_layer
0.931,0,7,full,1536,1,1,,,not_target_layer
0.931,1,0,full,1536,1,1,,,not_target_layer
0.931,1,1,full,1536,1,1,,,not_target_layer
0.931,1,2,full,1536,1,1,,,not_target_layer
0.931,1,3,full,1536,1,1,,,not_target_layer
0.931,1,4,full,1536,1,1,,,not_target_layer
0.931,1,5,full,1536,1,1,,,not_target_layer
0.931,1,6,full,1536,1,1,,,not_target_layer
0.931,1,7,full,1536,1,1,,,not_target_layer
0.931,2,0,full,1536,1,1,,,not_target_layer
0.931,2,1,full,1536,1,1,,,not_target_layer
0.931,2,2,full,1536,1,1,,,not_target_layer
0.931,2,3,full,1536,1,1,,,not_target_layer
0.931,2,4,full,1536,1,1,,,not_target_layer
0.931,2,5,full,1536,1,1,,,not_target_layer
0.931,2,6,full,1536,1,1,,,not_target_layer
0.931,2,7,full,1536,1,1,,,not_target_layer
0.931,3,0,full,1536,1,1,,,not_target_layer
0.931,3,1,full,1536,1,1,,,not_target_layer
0.931,3,2,full,1536,1,1,,,not_target_layer
0.931,3,3,full,1536,1,1,,,not_target_layer
0.931,3,4,full,1536,1,1,,,not_target_layer
0.931,3,5,full,1536,1,1,,,not_target_layer
0.931,3,6,full,1536,1,1,,,not_target_layer
0.931,3,7,full,1536,1,1,,,not_target_layer
0.931,4,0,full,1536,1,1,,,not_target_layer
0.931,4,1,full,1536,1,1,,,not_target_layer
0.931,4,2,full,1536,1,1,,,not_target_layer
0.931,4,3,full,1536,1,1,,,not_target_layer
0.931,4,4,full,1536,1,1,,,not_target_layer
0.931,4,5,full,1536,1,1,,,not_target_layer
0.931,4,6,full,1536,1,1,,,not_target_layer
0.931,4,7,full,1536,1,1,,,not_target_layer
0.931,5,0,full,1536,1,1,,,not_target_layer
0.931,5,1,full,1536,1,1,,,not_target_layer
0.931,5,2,full,1536,1,1,,,not_target_layer
0.931,5,3,full,1536,1,1,,,not_target_layer
0.931,5,4,full,1536,1,1,,,not_target_layer
0.931,5,5,full,1536,1,1,,,not_target_layer
0.931,5,6,full,1536,1,1,,,not_target_layer
0.931,5,7,full,1536,1,1,,,not_target_layer
0.931,6,0,full,1536,1,1,,,not_target_layer
0.931,6,1,full,1536,1,1,,,not_target_layer
