threshold,layer,kv_head,action,selected_budget,budget_fraction,quality,direct_val_r2,fitv_val_r2,reason
0.942,0,0,full,1536,1,1,,,not_target_layer
0.942,0,1,full,1536,1,1,,,not_target_layer
0.942,0,2,full,1536,1,1,,,not_target_layer
0.942,0,3,full,1536,1,1,,,not_target_layer
0.942,0,4,full,1536,1,1,,,not_target_layer
0.942,0,5,full,1536,1,1,,,not_target_layer
0.942,0,6,full,1536,1,1,,,not_target_layer
0.942,0,7,full,1536,1,1,,,not_target_layer
0.942,1,0,full,1536,1,1,,,not_target_layer
0.942,1,1,full,1536,1,1,,,not_target_layer
0.942,1,2,full,1536,1,1,,,not_target_layer
0.942,1,3,full,1536,1,1,,,not_target_layer
0.942,1,4,full,1536,1,1,,,not_target_layer
0.942,1,5,full,1536,1,1,,,not_target_layer
0.942,1,6,full,1536,1,1,,,not_target_layer
0.942,1,7,full,1536,1,1,,,not_target_layer
0.942,2,0,full,1536,1,1,,,not_target_layer
0.942,2,1,full,1536,1,1,,,not_target_layer
0.942,2,2,full,1536,1,1,,,not_target_layer
0.942,2,3,full,1536,1,1,,,not_target_layer
0.942,2,4,full,1536,1,1,,,not_target_layer
0.942,2,5,full,1536,1,1,,,not_target_layer
0.942,2,6,full,1536,1,1,,,not_target_layer
0.942,2,7,full,1536,1,1,,,not_target_layer
0.942,3,0,full,1536,1,1,,,not_target_layer
0.942,3,1,full,1536,1,1,,,not_target_layer
0.942,3,2,full,1536,1,1,,,not_target_layer
0.942,3,3,full,1536,1,1,,,not_target_layer
0.942,3,4,full,1536,1,1,,,not_target_layer
0.942,3,5,full,1536,1,1,,,not_target_layer
0.942,3,6,full,1536,1,1,,,not_target_layer
0.942,3,7,full,1536,1,1,,,not_target_layer
0.942,4,0,full,1536,1,1,,,not_target_layer
0.942,4,1,full,1536,1,1,,,not_target_layer
0.942,4,2,full,1536,1,1,,,not_target_layer
0.942,4,3,full,1536,1,1,,,not_target_layer
0.942,4,4,full,1536,1,1,,,not_target_layer
0.942,4,5,full,1536,1,1,,,not_target_layer
0.942,4,6,full,1536,1,1,,,not_target_layer
0.942,4,7,full,1536,1,1,,,not_target_layer
0.942,5,0,full,1536,1,1,,,not_target_layer
0.942,5,1,full,1536,1,1,,,not_target_layer
0.942,5,2,full,1536,1,1,,,not_target_layer
0.942,5,3,full,1536,1,1,,,not_target_layer
0.942,5,4,full,1536,1,1,,,not_target_layer
0.942,5,5,full,1536,1,1,,,not_target_layer
0.942,5,6,full,1536,1,1,,,not_target_layer
0.942,5,7,full,1536,1,1,,,not_target_layer
0.942,6,0,full,1536,1,1,,,not_target_layer
0.942,6,1,full,1536,1,1,,,not_target_layer
0.942,6,2,full,1536,1,1,,,not_target_layer
0.942,6,3,full,1536,1,1,,,not_target_layer
0.942,6,4,full,1536,1,1,,,not_target_layer
0.942,6,5,full,1536,1,1,,,not_target_layer
0.942,6,6,full,1536,1,1,,,not_target_layer
0.942,6,7,full,1536,1,1,,,not_target_layer
0.942,7,0,full,1536,1,1,,,not_target_layer
0.942,7,1,full,1536,1,1,,,not_target_layer
0.942,7,2,full,1536,1,1,,,not_target_layer
0.942,7,3,full,1536,1,1,,,not_target_layer
0.942,7,4,full,1536,1,1,,,not_target_layer
0.942,7,5,full,1536,1,1,,,not_target_layer
0.942,7,6,full,1536,1,1,,,not_target_layer
0.942,7,7,full,1536,1,1,,,not_target_layer
0.942,8,0,full,1536,1,1,,,not_target_layer
0.942,8,1,compact,768,0.5,0,,,seed_l24_l10h3_l8h1_l20h2_add_l8h5
0.942,8,2,full,1536,1,1,,,not_target_layer
0.942,8,3,full,1536,1,1,,,not_target_layer
0.942,8,4,full,1536,1,1,,,not_target_layer
0.942,8,5,compact,768,0.5,0,,,seed_l24_l10h3_l8h1_l20h2_add_l8h5
0.942,8,6,full,1536,1,1,,,not_target_layer
0.942,8,7,full,1536,1,1,,,not_target_layer
0.942,9,0,full,1536,1,1,,,not_target_layer
0.942,9,1,full,1536,1,1,,,not_target_layer
0.942,9,2,full,1536,1,1,,,not_target_layer
0.942,9,3,full,1536,1,1,,,not_target_layer
0.942,9,4,full,1536,1,1,,,not_target_layer
0.942,9,5,full,1536,1,1,,,not_target_layer
0.942,9,6,full,1536,1,1,,,not_target_layer
0.942,9,7,full,1536,1,1,,,not_target_layer
0.942,10,0,full,1536,1,1,,,not_target_layer
0.942,10,1,full,1536,1,1,,,not_target_layer
0.942,10,2,full,1536,1,1,,,not_target_layer
0.942,10,3,compact,768,0.5,0,,,seed_l24_l10h3_l8h1_l20h2_add_l8h5
0.942,10,4,full,1536,1,1,,,not_target_layer
0.942,10,5,full,1536,1,1,,,not_target_layer
0.942,10,6,full,1536,1,1,,,not_target_layer
0.942,10,7,full,1536,1,1,,,not_target_layer
0.942,11,0,full,1536,1,1,,,not_target_layer
0.942,11,1,full,1536,1,1,,,not_target_layer
0.942,11,2,full,1536,1,1,,,not_target_layer
0.942,11,3,full,1536,1,1,,,not_target_layer
0.942,11,4,full,1536,1,1,,,not_target_layer
0.942,11,5,full,1536,1,1,,,not_target_layer
0.942,11,6,full,1536,1,1,,,not_target_layer
0.942,11,7,full,1536,1,1,,,not_target_layer
0.942,12,0,full,1536,1,1,,,not_target_layer
0.942,12,1,full,1536,1,1,,,not_target_layer
0.942,12,2,full,1536,1,1,,,not_target_layer
0.942,12,3,full,1536,1,1,,,not_target_layer
0.942,12,4,full,1536,1,1,,,not_target_layer
0.942,12,5,full,1536,1,1,,,not_target_layer
0.942,12,6,full,1536,1,1,,,not_target_layer
0.942,12,7,full,1536,1,1,,,not_target_layer
0.942,13,0,full,1536,1,1,,,not_target_layer
0.942,13,1,full,1536,1,1,,,not_target_layer
0.942,13,2,full,1536,1,1,,,not_target_layer
0.942,13,3,full,1536,1,1,,,not_target_layer
0.942,13,4,full,1536,1,1,,,not_target_layer
0.942,13,5,full,1536,1,1,,,not_target_layer
0.942,13,6,full,1536,1,1,,,not_target_layer
0.942,13,7,full,1536,1,1,,,not_target_layer
0.942,14,0,full,1536,1,1,,,not_target_layer
0.942,14,1,full,1536,1,1,,,not_target_layer
0.942,14,2,full,1536,1,1,,,not_target_layer
0.942,14,3,full,1536,1,1,,,not_target_layer
0.942,14,4,full,1536,1,1,,,not_target_layer
0.942,14,5,full,1536,1,1,,,not_target_layer
0.942,14,6,full,1536,1,1,,,not_target_layer
0.942,14,7,full,1536,1,1,,,not_target_layer
0.942,15,0,full,1536,1,1,,,not_target_layer
0.942,15,1,full,1536,1,1,,,not_target_layer
0.942,15,2,full,1536,1,1,,,not_target_layer
0.942,15,3,full,1536,1,1,,,not_target_layer
0.942,15,4,full,1536,1,1,,,not_target_layer
0.942,15,5,full,1536,1,1,,,not_target_layer
0.942,15,6,full,1536,1,1,,,not_target_layer
0.942,15,7,full,1536,1,1,,,not_target_layer
0.942,16,0,full,1536,1,1,,,not_target_layer
0.942,16,1,full,1536,1,1,,,not_target_layer
