threshold,layer,kv_head,action,selected_budget,budget_fraction,quality,direct_val_r2,fitv_val_r2,reason
0.944,0,0,full,1536,1,1,,,not_target_layer
0.944,0,1,full,1536,1,1,,,not_target_layer
0.944,0,2,full,1536,1,1,,,not_target_layer
0.944,0,3,full,1536,1,1,,,not_target_layer
0.944,0,4,full,1536,1,1,,,not_target_layer
0.944,0,5,full,1536,1,1,,,not_target_layer
0.944,0,6,full,1536,1,1,,,not_target_layer
0.944,0,7,full,1536,1,1,,,not_target_layer
0.944,1,0,full,1536,1,1,,,not_target_layer
0.944,1,1,full,1536,1,1,,,not_target_layer
0.944,1,2,full,1536,1,1,,,not_target_layer
0.944,1,3,full,1536,1,1,,,not_target_layer
0.944,1,4,full,1536,1,1,,,not_target_layer
0.944,1,5,full,1536,1,1,,,not_target_layer
0.944,1,6,full,1536,1,1,,,not_target_layer
0.944,1,7,full,1536,1,1,,,not_target_layer
0.944,2,0,full,1536,1,1,,,not_target_layer
0.944,2,1,full,1536,1,1,,,not_target_layer
0.944,2,2,full,1536,1,1,,,not_target_layer
0.944,2,3,full,1536,1,1,,,not_target_layer
0.944,2,4,full,1536,1,1,,,not_target_layer
0.944,2,5,full,1536,1,1,,,not_target_layer
0.944,2,6,full,1536,1,1,,,not_target_layer
0.944,2,7,full,1536,1,1,,,not_target_layer
0.944,3,0,full,1536,1,1,,,not_target_layer
0.944,3,1,full,1536,1,1,,,not_target_layer
0.944,3,2,full,1536,1,1,,,not_target_layer
0.944,3,3,full,1536,1,1,,,not_target_layer
0.944,3,4,full,1536,1,1,,,not_target_layer
0.944,3,5,full,1536,1,1,,,not_target_layer
0.944,3,6,full,1536,1,1,,,not_target_layer
0.944,3,7,full,1536,1,1,,,not_target_layer
0.944,4,0,full,1536,1,1,,,not_target_layer
0.944,4,1,full,1536,1,1,,,not_target_layer
0.944,4,2,full,1536,1,1,,,not_target_layer
0.944,4,3,full,1536,1,1,,,not_target_layer
0.944,4,4,full,1536,1,1,,,not_target_layer
0.944,4,5,full,1536,1,1,,,not_target_layer
0.944,4,6,full,1536,1,1,,,not_target_layer
0.944,4,7,full,1536,1,1,,,not_target_layer
0.944,5,0,full,1536,1,1,,,not_target_layer
0.944,5,1,full,1536,1,1,,,not_target_layer
0.944,5,2,full,1536,1,1,,,not_target_layer
0.944,5,3,full,1536,1,1,,,not_target_layer
0.944,5,4,full,1536,1,1,,,not_target_layer
0.944,5,5,full,1536,1,1,,,not_target_layer
0.944,5,6,full,1536,1,1,,,not_target_layer
0.944,5,7,full,1536,1,1,,,not_target_layer
0.944,6,0,full,1536,1,1,,,not_target_layer
0.944,6,1,full,1536,1,1,,,not_target_layer
0.944,6,2,full,1536,1,1,,,not_target_layer
0.944,6,3,full,1536,1,1,,,not_target_layer
0.944,6,4,full,1536,1,1,,,not_target_layer
0.944,6,5,full,1536,1,1,,,not_target_layer
0.944,6,6,full,1536,1,1,,,not_target_layer
0.944,6,7,full,1536,1,1,,,not_target_layer
0.944,7,0,full,1536,1,1,,,not_target_layer
0.944,7,1,full,1536,1,1,,,not_target_layer
0.944,7,2,full,1536,1,1,,,not_target_layer
0.944,7,3,full,1536,1,1,,,not_target_layer
0.944,7,4,full,1536,1,1,,,not_target_layer
0.944,7,5,full,1536,1,1,,,not_target_layer
0.944,7,6,full,1536,1,1,,,not_target_layer
0.944,7,7,full,1536,1,1,,,not_target_layer
0.944,8,0,full,1536,1,1,,,not_target_layer
0.944,8,1,compact,768,0.5,0,,,"Layer24 safe seed plus 10:3,8:1,20:2,12:4 and candidate 10:5 at 50% per-head budget."
0.944,8,2,full,1536,1,1,,,not_target_layer
0.944,8,3,full,1536,1,1,,,not_target_layer
0.944,8,4,full,1536,1,1,,,not_target_layer
0.944,8,5,full,1536,1,1,,,not_target_layer
0.944,8,6,full,1536,1,1,,,not_target_layer
0.944,8,7,full,1536,1,1,,,not_target_layer
0.944,9,0,full,1536,1,1,,,not_target_layer
