threshold,layer,kv_head,action,selected_budget,budget_fraction,quality,direct_val_r2,fitv_val_r2,reason
0.945,0,0,full,1536,1,1,,,not_target_layer
0.945,0,1,full,1536,1,1,,,not_target_layer
0.945,0,2,full,1536,1,1,,,not_target_layer
0.945,0,3,full,1536,1,1,,,not_target_layer
0.945,0,4,full,1536,1,1,,,not_target_layer
0.945,0,5,full,1536,1,1,,,not_target_layer
0.945,0,6,full,1536,1,1,,,not_target_layer
0.945,0,7,full,1536,1,1,,,not_target_layer
0.945,1,0,full,1536,1,1,,,not_target_layer
0.945,1,1,full,1536,1,1,,,not_target_layer
0.945,1,2,full,1536,1,1,,,not_target_layer
0.945,1,3,full,1536,1,1,,,not_target_layer
0.945,1,4,full,1536,1,1,,,not_target_layer
0.945,1,5,full,1536,1,1,,,not_target_layer
0.945,1,6,full,1536,1,1,,,not_target_layer
0.945,1,7,full,1536,1,1,,,not_target_layer
0.945,2,0,full,1536,1,1,,,not_target_layer
0.945,2,1,full,1536,1,1,,,not_target_layer
0.945,2,2,full,1536,1,1,,,not_target_layer
0.945,2,3,full,1536,1,1,,,not_target_layer
0.945,2,4,full,1536,1,1,,,not_target_layer
0.945,2,5,full,1536,1,1,,,not_target_layer
0.945,2,6,full,1536,1,1,,,not_target_layer
0.945,2,7,full,1536,1,1,,,not_target_layer
0.945,3,0,full,1536,1,1,,,not_target_layer
0.945,3,1,full,1536,1,1,,,not_target_layer
0.945,3,2,full,1536,1,1,,,not_target_layer
0.945,3,3,full,1536,1,1,,,not_target_layer
0.945,3,4,full,1536,1,1,,,not_target_layer
0.945,3,5,full,1536,1,1,,,not_target_layer
0.945,3,6,full,1536,1,1,,,not_target_layer
0.945,3,7,full,1536,1,1,,,not_target_layer
0.945,4,0,full,1536,1,1,,,not_target_layer
0.945,4,1,full,1536,1,1,,,not_target_layer
0.945,4,2,full,1536,1,1,,,not_target_layer
0.945,4,3,full,1536,1,1,,,not_target_layer
0.945,4,4,full,1536,1,1,,,not_target_layer
0.945,4,5,full,1536,1,1,,,not_target_layer
0.945,4,6,full,1536,1,1,,,not_target_layer
0.945,4,7,full,1536,1,1,,,not_target_layer
0.945,5,0,full,1536,1,1,,,not_target_layer
0.945,5,1,full,1536,1,1,,,not_target_layer
0.945,5,2,full,1536,1,1,,,not_target_layer
0.945,5,3,full,1536,1,1,,,not_target_layer
0.945,5,4,full,1536,1,1,,,not_target_layer
0.945,5,5,full,1536,1,1,,,not_target_layer
0.945,5,6,full,1536,1,1,,,not_target_layer
0.945,5,7,full,1536,1,1,,,not_target_layer
0.945,6,0,full,1536,1,1,,,not_target_layer
0.945,6,1,full,1536,1,1,,,not_target_layer
0.945,6,2,full,1536,1,1,,,not_target_layer
0.945,6,3,full,1536,1,1,,,not_target_layer
0.945,6,4,full,1536,1,1,,,not_target_layer
0.945,6,5,full,1536,1,1,,,not_target_layer
0.945,6,6,full,1536,1,1,,,not_target_layer
0.945,6,7,full,1536,1,1,,,not_target_layer
0.945,7,0,full,1536,1,1,,,not_target_layer
0.945,7,1,full,1536,1,1,,,not_target_layer
0.945,7,2,full,1536,1,1,,,not_target_layer
0.945,7,3,full,1536,1,1,,,not_target_layer
0.945,7,4,full,1536,1,1,,,not_target_layer
0.945,7,5,full,1536,1,1,,,not_target_layer
