threshold,layer,kv_head,action,selected_budget,budget_fraction,quality,direct_val_r2,fitv_val_r2,reason
0.921,0,0,full,1536,1,1,,,not_target_layer
0.921,0,1,full,1536,1,1,,,not_target_layer
0.921,0,2,full,1536,1,1,,,not_target_layer
0.921,0,3,full,1536,1,1,,,not_target_layer
0.921,0,4,full,1536,1,1,,,not_target_layer
0.921,0,5,full,1536,1,1,,,not_target_layer
0.921,0,6,full,1536,1,1,,,not_target_layer
0.921,0,7,full,1536,1,1,,,not_target_layer
0.921,1,0,full,1536,1,1,,,not_target_layer
0.921,1,1,full,1536,1,1,,,not_target_layer
0.921,1,2,full,1536,1,1,,,not_target_layer
0.921,1,3,full,1536,1,1,,,not_target_layer
0.921,1,4,full,1536,1,1,,,not_target_layer
0.921,1,5,full,1536,1,1,,,not_target_layer
0.921,1,6,full,1536,1,1,,,not_target_layer
0.921,1,7,full,1536,1,1,,,not_target_layer
0.921,2,0,full,1536,1,1,,,not_target_layer
0.921,2,1,full,1536,1,1,,,not_target_layer
0.921,2,2,full,1536,1,1,,,not_target_layer
0.921,2,3,full,1536,1,1,,,not_target_layer
0.921,2,4,full,1536,1,1,,,not_target_layer
0.921,2,5,full,1536,1,1,,,not_target_layer
0.921,2,6,full,1536,1,1,,,not_target_layer
0.921,2,7,full,1536,1,1,,,not_target_layer
0.921,3,0,full,1536,1,1,,,not_target_layer
0.921,3,1,full,1536,1,1,,,not_target_layer
0.921,3,2,full,1536,1,1,,,not_target_layer
0.921,3,3,full,1536,1,1,,,not_target_layer
0.921,3,4,full,1536,1,1,,,not_target_layer
0.921,3,5,full,1536,1,1,,,not_target_layer
0.921,3,6,full,1536,1,1,,,not_target_layer
0.921,3,7,full,1536,1,1,,,not_target_layer
0.921,4,0,full,1536,1,1,,,not_target_layer
0.921,4,1,full,1536,1,1,,,not_target_layer
0.921,4,2,full,1536,1,1,,,not_target_layer
0.921,4,3,full,1536,1,1,,,not_target_layer
0.921,4,4,full,1536,1,1,,,not_target_layer
0.921,4,5,full,1536,1,1,,,not_target_layer
0.921,4,6,full,1536,1,1,,,not_target_layer
0.921,4,7,full,1536,1,1,,,not_target_layer
0.921,5,0,full,1536,1,1,,,not_target_layer
0.921,5,1,full,1536,1,1,,,not_target_layer
0.921,5,2,full,1536,1,1,,,not_target_layer
0.921,5,3,full,1536,1,1,,,not_target_layer
0.921,5,4,full,1536,1,1,,,not_target_layer
0.921,5,5,full,1536,1,1,,,not_target_layer
0.921,5,6,full,1536,1,1,,,not_target_layer
0.921,5,7,full,1536,1,1,,,not_target_layer
0.921,6,0,full,1536,1,1,,,not_target_layer
0.921,6,1,full,1536,1,1,,,not_target_layer
0.921,6,2,full,1536,1,1,,,not_target_layer
0.921,6,3,full,1536,1,1,,,not_target_layer
0.921,6,4,full,1536,1,1,,,not_target_layer
0.921,6,5,full,1536,1,1,,,not_target_layer
0.921,6,6,full,1536,1,1,,,not_target_layer
0.921,6,7,full,1536,1,1,,,not_target_layer
0.921,7,0,full,1536,1,1,,,not_target_layer
0.921,7,1,full,1536,1,1,,,not_target_layer
0.921,7,2,full,1536,1,1,,,not_target_layer
0.921,7,3,full,1536,1,1,,,not_target_layer
0.921,7,4,full,1536,1,1,,,not_target_layer
0.921,7,5,full,1536,1,1,,,not_target_layer
0.921,7,6,full,1536,1,1,,,not_target_layer
0.921,7,7,full,1536,1,1,,,not_target_layer
0.921,8,0,full,1536,1,1,,,not_target_layer
0.921,8,1,compact,768,0.5,0,,,seed_l24_plus_l10h3_add_l8h1
0.921,8,2,full,1536,1,1,,,not_target_layer
0.921,8,3,full,1536,1,1,,,not_target_layer
0.921,8,4,full,1536,1,1,,,not_target_layer
0.921,8,5,full,1536,1,1,,,not_target_layer
0.921,8,6,full,1536,1,1,,,not_target_layer
0.921,8,7,full,1536,1,1,,,not_target_layer
0.921,9,0,full,1536,1,1,,,not_target_layer
0.921,9,1,full,1536,1,1,,,not_target_layer
0.921,9,2,full,1536,1,1,,,not_target_layer
0.921,9,3,full,1536,1,1,,,not_target_layer
0.921,9,4,full,1536,1,1,,,not_target_layer
0.921,9,5,full,1536,1,1,,,not_target_layer
0.921,9,6,full,1536,1,1,,,not_target_layer
0.921,9,7,full,1536,1,1,,,not_target_layer
0.921,10,0,full,1536,1,1,,,not_target_layer
0.921,10,1,full,1536,1,1,,,not_target_layer
0.921,10,2,full,1536,1,1,,,not_target_layer
