method,recovery_variant,budget,budget_fraction,direct_train_r2,direct_val_r2,fitv_train_r2,fitv_val_r2,learned_value_train_r2,learned_value_val_r2,mlp_train_r2,mlp_val_r2,recovery_train_r2,recovery_val_r2,recovery_gain_vs_direct,recovery_gain_vs_fitv,train_loss_initial,train_loss_final,doc_index,text_file,layer,kv_head,query_group,selector
mlp_residual,ridge_value_recovery,64,0.125,0.189575,-1.2377,0.59626,-0.0656008,0.642369,-0.115028,0.68144,-0.162818,0.59626,-0.0656008,1.1721,0,0.0877619,0.0177366,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,10,0,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.305479,-0.224578,0.445691,0.0936166,0.466954,0.0725169,0.534812,0.039426,0.445691,0.0936166,0.318195,0,0.148481,0.0759966,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,10,1,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.350431,-0.436798,0.510322,0.0575984,0.537529,0.0201519,0.603542,-0.00488472,0.510322,0.0575984,0.494397,0,0.111827,0.045934,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,10,2,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.574802,-0.637423,0.726979,0.372534,0.802681,0.350575,0.831371,0.208584,0.726979,0.372534,1.00996,0,0.0393609,0.0048275,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,10,3,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.233685,-0.61984,0.494411,-0.0759376,0.514814,-0.118156,0.586543,-0.141481,0.494411,-0.0759376,0.543902,0,0.147382,0.06193,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,10,4,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.498648,-0.110667,0.648625,0.305939,0.67307,0.284822,0.708107,0.274114,0.648625,0.305939,0.416606,0,0.120645,0.0447061,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,10,5,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.245928,-0.84413,0.465107,-0.0257372,0.499466,-0.0848091,0.542148,-0.175913,0.465107,-0.0257372,0.818393,0,0.103018,0.033955,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,10,6,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.150857,-1.2061,0.476392,0.000284314,0.498589,-0.0278839,0.544234,-0.160316,0.476392,0.000284314,1.20638,0,0.186063,0.0783305,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,10,7,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.245254,-1.09035,0.607202,-0.1416,0.649149,-0.186595,0.686782,-0.261302,0.607202,-0.1416,0.948748,0,0.0852253,0.0195277,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,10,0,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.292326,-0.348868,0.471474,0.0744188,0.49077,0.0544701,0.549072,0.00966328,0.471474,0.0744188,0.423287,0,0.173786,0.074255,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,10,1,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.336543,-0.308729,0.488094,0.153059,0.513726,0.126699,0.575055,0.0762476,0.488094,0.153059,0.461787,0,0.120216,0.0506603,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,10,2,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.577172,-0.351322,0.710115,0.514884,0.784462,0.512509,0.81738,0.385366,0.710115,0.514884,0.866206,0,0.063427,0.00540894,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,10,3,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.209461,-0.704171,0.485623,-0.0783108,0.507968,-0.127018,0.574112,-0.183339,0.485623,-0.0783108,0.62586,0,0.14683,0.0585793,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,10,4,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.445013,-0.166108,0.609364,0.21001,0.632857,0.194581,0.685286,0.150889,0.609364,0.21001,0.376118,0,0.135672,0.0475228,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,10,5,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.295692,-0.99562,0.585267,-0.0125719,0.620159,-0.0793728,0.662178,-0.165911,0.585267,-0.0125719,0.983048,0,0.0979232,0.0263802,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,10,6,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.193783,-1.16626,0.497084,-0.00323284,0.52009,-0.0308871,0.590171,-0.195277,0.497084,-0.00323284,1.16303,0,0.174319,0.0680889,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,10,7,2,highest
