method,recovery_variant,budget,budget_fraction,direct_train_r2,direct_val_r2,fitv_train_r2,fitv_val_r2,mlp_train_r2,mlp_val_r2,recovery_train_r2,recovery_val_r2,recovery_gain_vs_direct,recovery_gain_vs_fitv,train_loss_initial,train_loss_final,doc_index,text_file,layer,kv_head,query_group,selector
mlp_residual,ridge_value_recovery,64,0.125,0.189575,-1.2377,0.59626,-0.0656008,0.690366,-0.14849,0.59626,-0.0656008,1.1721,0,0.0848431,0.0172396,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,10,0,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.305479,-0.224578,0.445691,0.0936166,0.532071,0.0409211,0.445691,0.0936166,0.318195,0,0.150094,0.0764444,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,10,1,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.350431,-0.436798,0.510322,0.0575984,0.596876,-0.00989485,0.510322,0.0575984,0.494397,0,0.125997,0.0467064,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,10,2,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.574802,-0.637423,0.726979,0.372534,0.814834,0.16539,0.726979,0.372534,1.00996,0,0.0696022,0.00530091,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,10,3,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.233685,-0.61984,0.494411,-0.0759376,0.578853,-0.141137,0.494411,-0.0759376,0.543902,0,0.157158,0.0630819,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,10,4,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.498648,-0.110667,0.648625,0.305939,0.710685,0.2764,0.648625,0.305939,0.416606,0,0.111315,0.0443112,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,10,5,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.245928,-0.84413,0.465107,-0.0257372,0.547553,-0.175368,0.465107,-0.0257372,0.818393,0,0.0904491,0.0335542,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,10,6,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.150857,-1.2061,0.476392,0.000284314,0.542937,-0.157188,0.476392,0.000284314,1.20638,0,0.189841,0.0785534,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,10,7,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.245254,-1.09035,0.607202,-0.1416,0.682253,-0.270146,0.607202,-0.1416,0.948748,0,0.0995074,0.0198101,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,10,0,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.292326,-0.348868,0.471474,0.0744188,0.561731,0.00887501,0.471474,0.0744188,0.423287,0,0.149409,0.0721703,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,10,1,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.336543,-0.308729,0.488094,0.153059,0.571589,0.0864724,0.488094,0.153059,0.461787,0,0.127724,0.0510735,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,10,2,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.577172,-0.351322,0.710115,0.514884,0.817389,0.388618,0.710115,0.514884,0.866206,0,0.0571806,0.00540866,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,10,3,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.209461,-0.704171,0.485623,-0.0783108,0.572803,-0.1801,0.485623,-0.0783108,0.62586,0,0.151692,0.0587593,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,10,4,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.445013,-0.166108,0.609364,0.21001,0.692374,0.151121,0.609364,0.21001,0.376118,0,0.124215,0.0464524,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,10,5,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.295692,-0.99562,0.585267,-0.0125719,0.668946,-0.144853,0.585267,-0.0125719,0.983048,0,0.0926423,0.0258516,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,10,6,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.193783,-1.16626,0.497084,-0.00323284,0.588588,-0.208139,0.497084,-0.00323284,1.16303,0,0.173919,0.068352,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,10,7,2,highest
