method,recovery_variant,budget,budget_fraction,direct_train_r2,direct_val_r2,fitv_train_r2,fitv_val_r2,learned_value_train_r2,learned_value_val_r2,mlp_train_r2,mlp_val_r2,recovery_train_r2,recovery_val_r2,recovery_gain_vs_direct,recovery_gain_vs_fitv,train_loss_initial,train_loss_final,doc_index,text_file,layer,kv_head,query_group,selector
mlp_residual,ridge_value_recovery,64,0.125,0.533606,-0.243836,0.71923,0.00361443,0.73492,-0.00925112,0.763287,-0.0154058,0.71923,0.00361443,0.247451,0,0.2814,0.121514,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,16,0,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.362353,-0.501593,0.584171,0.0575258,0.603631,0.0401538,0.668922,-0.0157638,0.584171,0.0575258,0.559119,0,0.384764,0.172945,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,16,1,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.43635,-0.89299,0.655886,-0.128159,0.682669,-0.178593,0.736788,-0.208455,0.655886,-0.128159,0.764831,0,0.1631,0.0580795,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,16,2,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.409443,-0.486392,0.629978,0.0836852,0.641875,0.0602005,0.691959,0.00389713,0.629978,0.0836852,0.570077,0,0.496129,0.233319,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,16,3,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.416535,-0.00605941,0.591458,0.194422,0.59953,0.185428,0.64166,0.155515,0.591458,0.194422,0.200481,0,0.896931,0.521243,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,16,4,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.559558,-0.226733,0.683947,0.163612,0.695939,0.141446,0.738346,0.0943471,0.683947,0.163612,0.390345,0,0.378712,0.200975,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,16,5,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.46796,0.0625842,0.587742,0.262987,0.595891,0.254805,0.642459,0.231441,0.587742,0.262987,0.200403,0,0.869146,0.555777,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,16,6,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.543452,-0.275342,0.656697,0.0440686,0.664504,0.017352,0.691285,-0.0119951,0.656697,0.0440686,0.319411,0,0.583646,0.368044,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,16,7,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.503452,-0.299632,0.692188,-0.0245086,0.705244,-0.044994,0.735065,-0.117844,0.692188,-0.0245086,0.275124,0,0.36948,0.169129,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,16,0,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.399913,-0.514291,0.617117,0.0133666,0.633214,-0.00356698,0.688116,-0.0525903,0.617117,0.0133666,0.527657,0,0.412505,0.200108,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,16,1,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.319291,-0.95556,0.65997,-0.103277,0.684422,-0.139276,0.734807,-0.200696,0.65997,-0.103277,0.852282,0,0.216134,0.0664209,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,16,2,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.52155,-0.415468,0.704332,0.0808098,0.71487,0.0547639,0.753443,0.00792599,0.704332,0.0808098,0.496278,0,0.506963,0.240065,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,16,3,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.498526,-0.0268908,0.669474,0.194013,0.677551,0.18034,0.707463,0.141849,0.669474,0.194013,0.220904,0,0.784101,0.437739,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,16,4,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.566948,-0.18893,0.703819,0.201314,0.714456,0.182957,0.756938,0.165036,0.703819,0.201314,0.390244,0,0.439983,0.220473,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,16,5,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.506446,0.017352,0.633662,0.233594,0.641219,0.223673,0.679277,0.188464,0.633662,0.233594,0.216242,0,0.877007,0.539464,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,16,6,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.643787,-0.17326,0.727056,0.0923663,0.734874,0.0675045,0.762767,0.0241547,0.727056,0.0923663,0.265626,0,0.509415,0.307628,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,16,7,2,highest
