method,recovery_variant,budget,budget_fraction,direct_train_r2,direct_val_r2,fitv_train_r2,fitv_val_r2,learned_value_train_r2,learned_value_val_r2,mlp_train_r2,mlp_val_r2,fused_train_r2,fused_val_r2,recovery_train_r2,recovery_val_r2,recovery_gain_vs_direct,recovery_gain_vs_fitv,train_loss_initial,train_loss_final,fused_train_loss_initial,fused_train_loss_final,doc_index,text_file,layer,kv_head,query_group,selector
mlp_residual,learned_compact_values,192,0.375,0.950009,-0.0774379,0.727554,-0.0307685,0.743614,-0.0268633,0.972996,-0.0494606,0.935037,-0.0709791,0.743614,-0.0268633,0.0505745,0.00390518,0.361757,0.175824,1.8589,0.422979,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,24,0,2,highest
mlp_residual,mlp_residual,192,0.375,0.916714,0.213952,0.683275,0.158442,0.697188,0.165706,0.938824,0.250241,0.896064,0.243665,0.938824,0.250241,0.0362883,0.0917986,0.936142,0.660072,3.43332,1.12144,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,24,1,2,highest
mlp_residual,mlp_residual,192,0.375,0.988124,0.272505,0.747348,0.254998,0.75648,0.262344,0.994581,0.346257,0.959907,0.30895,0.994581,0.346257,0.0737529,0.0912595,0.186191,0.0668136,3.14833,0.494323,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,24,2,2,highest
mlp_residual,mlp_residual,192,0.375,0.987812,0.315508,0.820557,0.278438,0.826616,0.283527,0.993316,0.352539,0.964134,0.308094,0.993316,0.352539,0.0370303,0.0741005,0.325726,0.153201,4.14622,0.82204,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,24,3,2,highest
mlp_residual,learned_compact_values,192,0.375,0.827637,-0.173748,0.644703,-0.0678834,0.659821,-0.0651236,0.874541,-0.1261,0.843561,-0.154387,0.659821,-0.0651236,0.108624,0.00275981,1.41793,1.00541,2.87088,1.25369,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,24,4,2,highest
mlp_residual,mlp_residual,192,0.375,0.984136,0.283997,0.784126,0.276132,0.792624,0.28216,0.991805,0.327632,0.961363,0.290941,0.991805,0.327632,0.0436345,0.0514997,0.236915,0.096391,2.58041,0.454448,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,24,5,2,highest
mlp_residual,mlp_residual,192,0.375,0.984688,0.207995,0.731813,0.180714,0.742107,0.187732,0.993265,0.246731,0.956954,0.205771,0.993265,0.246731,0.0387365,0.066017,0.192553,0.0643845,2.60757,0.411525,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,24,6,2,highest
mlp_residual,mlp_residual,192,0.375,0.994814,0.433945,0.815829,0.385089,0.823593,0.390974,0.997499,0.466884,0.973749,0.409068,0.997499,0.466884,0.0329394,0.0817949,0.104956,0.0300507,2.26611,0.315463,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,24,7,2,highest
mlp_residual,mlp_residual,192,0.375,0.991902,-0.12455,0.792606,-0.161646,0.807321,-0.153229,0.995326,-0.115056,0.974427,-0.131283,0.995326,-0.115056,0.00949466,0.04659,0.0828718,0.0269619,1.21658,0.14752,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,24,0,2,highest
mlp_residual,fused_residual,192,0.375,0.939373,0.270577,0.699201,0.217415,0.714064,0.225319,0.96318,0.307135,0.925658,0.314376,0.925658,0.314376,0.043799,0.0969615,0.612511,0.349209,2.84241,0.705087,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,24,1,2,highest
mlp_residual,mlp_residual,192,0.375,0.993176,0.663631,0.803806,0.568513,0.811737,0.57541,0.996504,0.686062,0.970065,0.660081,0.996504,0.686062,0.0224311,0.117549,0.131066,0.0456474,2.61652,0.39085,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,24,2,2,highest
mlp_residual,mlp_residual,192,0.375,0.995328,0.548788,0.836857,0.489457,0.843379,0.493044,0.997947,0.562066,0.976973,0.525716,0.997947,0.562066,0.0132781,0.0726091,0.127159,0.0376008,3.04194,0.421779,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,24,3,2,highest
mlp_residual,learned_compact_values,192,0.375,0.83302,-0.214482,0.639239,-0.153806,0.655715,-0.149199,0.881031,-0.18782,0.852,-0.227162,0.655715,-0.149199,0.0652831,0.00460732,1.18764,0.81464,2.50992,1.01343,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,24,4,2,highest
mlp_residual,mlp_residual,192,0.375,0.994411,0.366647,0.797682,0.324615,0.807041,0.32938,0.997524,0.389801,0.974088,0.34482,0.997524,0.389801,0.0231539,0.0651858,0.0897122,0.0236826,1.97152,0.247851,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,24,5,2,highest
mlp_residual,mlp_residual,192,0.375,0.99314,0.316989,0.772762,0.300433,0.782592,0.305096,0.996395,0.334269,0.970545,0.291175,0.996395,0.334269,0.0172803,0.0338363,0.103923,0.0326899,2.12825,0.267121,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,24,6,2,highest
mlp_residual,learned_compact_values,192,0.375,0.996251,0.231806,0.817634,0.318388,0.826634,0.319421,0.99817,0.247657,0.9773,0.231085,0.826634,0.319421,0.0876153,0.00103384,0.0759193,0.0175055,1.79265,0.217196,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,24,7,2,highest
