method,recovery_variant,budget,budget_fraction,direct_train_r2,direct_val_r2,fitv_train_r2,fitv_val_r2,learned_value_train_r2,learned_value_val_r2,mlp_train_r2,mlp_val_r2,fused_train_r2,fused_val_r2,recovery_train_r2,recovery_val_r2,recovery_gain_vs_direct,recovery_gain_vs_fitv,train_loss_initial,train_loss_final,fused_train_loss_initial,fused_train_loss_final,doc_index,text_file,layer,kv_head,query_group,selector
mlp_residual,ridge_value_recovery,64,0.125,0.49579,-0.312137,0.693589,-0.0614599,0.700962,-0.0657328,0.730384,-0.109371,0.785565,-0.133343,0.693589,-0.0614599,0.250677,0,3.34432,1.75549,2.0287,1.3962,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,24,0,2,highest
mlp_residual,fused_residual,64,0.125,0.456794,-0.0895439,0.577479,0.15209,0.583218,0.151854,0.637316,0.154171,0.693029,0.16508,0.693029,0.16508,0.254624,0.0129896,5.92256,3.91327,4.58305,3.31214,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,24,1,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.696774,-0.934579,0.748889,0.170509,0.75452,0.165829,0.850314,-0.0754048,0.866672,0.0410951,0.748889,0.170509,1.10509,0,3.78105,1.84553,3.13124,1.64385,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,24,2,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.770075,-0.430942,0.805527,0.20783,0.809263,0.205077,0.876171,0.0537918,0.889013,0.0991196,0.805527,0.20783,0.638772,0,5.32664,2.83814,4.49873,2.54381,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,24,3,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.199091,-0.486079,0.434676,-0.116505,0.440249,-0.120708,0.469202,-0.177213,0.567319,-0.204624,0.434676,-0.116505,0.369574,0,6.48581,4.25377,4.57552,3.46747,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,24,4,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.734793,-0.356565,0.779353,0.250837,0.784467,0.248436,0.861664,0.149873,0.878302,0.163358,0.779353,0.250837,0.607402,0,3.16318,1.62713,2.65039,1.43142,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,24,5,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.655988,-0.527177,0.707367,0.12868,0.713238,0.124562,0.805989,0.00133789,0.835854,0.0225341,0.707367,0.12868,0.655857,0,3.33845,1.85477,2.83504,1.56925,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,24,6,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.790553,-0.158306,0.789713,0.292553,0.794611,0.288885,0.877295,0.20643,0.890602,0.208986,0.789713,0.292553,0.450859,0,2.56314,1.47455,2.55918,1.31463,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,24,7,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.646748,-0.454276,0.768057,-0.176655,0.775667,-0.178374,0.819067,-0.212343,0.853735,-0.22533,0.768057,-0.176655,0.277621,0,2.08982,1.04371,1.3725,0.843724,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,24,0,2,highest
mlp_residual,fused_residual,64,0.125,0.477316,-0.00388825,0.58126,0.192658,0.587258,0.192184,0.639317,0.170999,0.702905,0.197797,0.702905,0.197797,0.201685,0.00513852,4.96094,3.42084,4.0027,2.81775,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,24,1,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.767396,0.071996,0.80672,0.534507,0.811591,0.534308,0.890495,0.460952,0.898636,0.486583,0.80672,0.534507,0.462511,0,3.06944,1.42976,2.5775,1.32347,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,24,2,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.799815,0.170934,0.82218,0.414094,0.826182,0.413027,0.887284,0.372232,0.897095,0.369462,0.82218,0.414094,0.24316,0,3.70001,2.06455,3.30053,1.88485,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,24,3,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.21296,-0.436877,0.431879,-0.17448,0.438064,-0.177473,0.477101,-0.244244,0.575186,-0.297639,0.431879,-0.17448,0.262397,0,5.40016,3.58056,3.95351,2.90892,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,24,4,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.740133,-0.0702648,0.782736,0.250226,0.788392,0.247951,0.871337,0.185011,0.896677,0.171028,0.782736,0.250226,0.320491,0,2.52049,1.23065,2.1324,0.988284,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,24,5,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.739702,-0.135374,0.782794,0.29113,0.788691,0.290554,0.875704,0.205671,0.892851,0.219415,0.782794,0.29113,0.426503,0,2.40999,1.12722,2.0067,0.971712,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,24,6,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.795965,-0.157337,0.79772,0.261796,0.803453,0.256983,0.895607,0.0861667,0.911354,0.0905423,0.79772,0.261796,0.419133,0,1.98466,0.998839,1.96597,0.848173,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,24,7,2,highest
