method,recovery_variant,budget,budget_fraction,direct_train_r2,direct_val_r2,fitv_train_r2,fitv_val_r2,learned_value_train_r2,learned_value_val_r2,mlp_train_r2,mlp_val_r2,fused_train_r2,fused_val_r2,recovery_train_r2,recovery_val_r2,recovery_gain_vs_direct,recovery_gain_vs_fitv,train_loss_initial,train_loss_final,fused_train_loss_initial,fused_train_loss_final,doc_index,text_file,layer,kv_head,query_group,selector
mlp_residual,ridge_value_recovery,64,0.125,-0.0885049,-0.623395,0.306004,-0.0918416,0.320474,-0.146873,0.391493,-0.209215,0.402657,-0.173885,0.306004,-0.0918416,0.531554,0,0.133094,0.0528535,0.101419,0.0518838,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,5,0,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.0281427,-1.22633,0.491442,-0.000470996,0.541888,-0.0441774,0.535363,-0.236359,0.565306,-0.0517908,0.491442,-0.000470996,1.22586,0,0.0859772,0.0166842,0.0541518,0.015609,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,5,1,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.462632,-0.46132,0.677821,0.212821,0.72313,0.182785,0.732759,0.131139,0.735385,0.184219,0.677821,0.212821,0.674141,0,0.059546,0.0107361,0.0557398,0.0106306,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,5,2,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.169482,-0.746086,0.46352,-0.0846342,0.495447,-0.181977,0.50804,-0.305615,0.520995,-0.192836,0.46352,-0.0846342,0.661452,0,0.0810379,0.0180763,0.0654492,0.0176003,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,5,3,2,highest
mlp_residual,ridge_value_recovery,64,0.125,-0.0251248,-1.04576,0.439255,-0.161085,0.469152,-0.236808,0.507557,-0.346128,0.529531,-0.271764,0.439255,-0.161085,0.884676,0,0.0969411,0.0285075,0.0718489,0.0272354,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,5,4,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.283358,-0.21816,0.464043,0.0496205,0.486826,0.0172973,0.506773,-0.0125537,0.514643,0.015327,0.464043,0.0496205,0.26778,0,0.0794474,0.0284553,0.070018,0.0280012,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,5,5,2,highest
mlp_residual,ridge_value_recovery,64,0.125,-0.156783,-0.925104,0.607585,-0.181896,0.649009,-0.250718,0.638445,-0.357068,0.657467,-0.237631,0.607585,-0.181896,0.743207,0,0.0723987,0.00866732,0.0543672,0.00821133,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,5,6,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.118059,-0.197613,0.283918,-0.00522256,0.299221,-0.0328206,0.362099,-0.0658698,0.363056,-0.0522218,0.283918,-0.00522256,0.19239,0,0.126456,0.0632353,0.122447,0.0631404,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,5,7,2,highest
mlp_residual,ridge_value_recovery,64,0.125,-0.0460854,-0.553064,0.306889,-0.111101,0.322608,-0.176277,0.378573,-0.232146,0.391131,-0.197992,0.306889,-0.111101,0.441963,0,0.128847,0.0521209,0.100063,0.0510677,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,5,0,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.0989499,-0.907628,0.491639,-0.00898397,0.534901,-0.0614421,0.533148,-0.158082,0.557032,-0.0884116,0.491639,-0.00898397,0.898644,0,0.0724722,0.0191088,0.0567552,0.0181312,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,5,1,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.436407,-0.385486,0.678186,0.226598,0.719448,0.185553,0.731032,0.112476,0.745043,0.180027,0.678186,0.226598,0.612084,0,0.0669863,0.0120317,0.0518862,0.011405,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,5,2,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.159604,-0.755056,0.451761,-0.0480316,0.485081,-0.140674,0.501876,-0.267983,0.521999,-0.17879,0.451761,-0.0480316,0.707025,0,0.0801978,0.0175211,0.0575007,0.0168133,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,5,3,2,highest
mlp_residual,ridge_value_recovery,64,0.125,-0.0739172,-1.17154,0.448651,-0.184795,0.473578,-0.254018,0.521713,-0.409467,0.54272,-0.327429,0.448651,-0.184795,0.986743,0,0.111082,0.0311445,0.0775919,0.0297766,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,5,4,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.302075,-0.226025,0.501603,0.0786227,0.521823,0.0455135,0.546337,0.0216205,0.548077,0.050849,0.501603,0.0786227,0.304648,0,0.0817081,0.0293071,0.075485,0.0291948,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,5,5,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.0625823,-1.14995,0.67681,-0.242111,0.718689,-0.345242,0.707331,-0.383373,0.731023,-0.328292,0.67681,-0.242111,0.907835,0,0.0665532,0.00764441,0.054843,0.00702559,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,5,6,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.137973,-0.189123,0.32318,-0.0212733,0.339533,-0.0494078,0.407715,-0.102764,0.408071,-0.0861512,0.32318,-0.0212733,0.16785,0,0.111441,0.0516098,0.101631,0.0515788,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,5,7,2,highest
