method,recovery_variant,budget,budget_fraction,direct_train_r2,direct_val_r2,fitv_train_r2,fitv_val_r2,mlp_train_r2,mlp_val_r2,recovery_train_r2,recovery_val_r2,recovery_gain_vs_direct,recovery_gain_vs_fitv,train_loss_initial,train_loss_final,doc_index,text_file,layer,kv_head,query_group,selector
mlp_residual,mlp_residual,64,0.125,0.230029,-0.363745,0.427239,0.106174,0.434856,-0.0059793,0.434856,-0.0059793,0.357766,-0.112153,0.049636,0.00377349,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,0,0,2,highest
mlp_residual,mlp_residual,64,0.125,0.0928756,-0.481822,0.310089,-0.100896,0.358762,-0.16255,0.358762,-0.16255,0.319272,-0.0616542,0.0618863,0.0140324,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,0,1,2,highest
mlp_residual,mlp_residual,64,0.125,0.108342,-0.289784,0.330747,0.0625859,0.35355,0.0114733,0.35355,0.0114733,0.301257,-0.0511126,0.0505799,0.00684557,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,0,2,2,highest
mlp_residual,mlp_residual,64,0.125,0.0631853,-0.505827,0.314727,-0.0482382,0.327042,-0.19609,0.327042,-0.19609,0.309737,-0.147852,0.0556183,0.00754318,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,0,3,2,highest
mlp_residual,mlp_residual,64,0.125,0.105768,-0.31355,0.306909,0.0148678,0.307988,-0.0714093,0.307988,-0.0714093,0.242141,-0.0862771,0.0506483,0.00560813,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,0,4,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.0774155,-0.947309,0.553632,0.0175738,0.486883,-0.145296,0.553632,0.0175738,0.964883,0,0.0439512,0.00157328,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,0,5,2,highest
mlp_residual,mlp_residual,64,0.125,0.019808,-0.28468,0.254803,0.0290015,0.277114,-0.0111521,0.277114,-0.0111521,0.273528,-0.0401536,0.0488281,0.00891329,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,0,6,2,highest
mlp_residual,mlp_residual,64,0.125,0.181371,-0.369573,0.333524,-0.0710483,0.333913,-0.181671,0.333913,-0.181671,0.187903,-0.110622,0.0461458,0.00460054,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,0,7,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.194496,-0.151328,0.369561,0.0726134,0.353123,-0.0119587,0.369561,0.0726134,0.223942,0,0.0467308,0.00290395,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,0,0,2,highest
mlp_residual,mlp_residual,64,0.125,-0.0675337,-0.53272,0.239224,-0.130661,0.2767,-0.186026,0.2767,-0.186026,0.346694,-0.055365,0.0746336,0.022121,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,0,1,2,highest
mlp_residual,mlp_residual,64,0.125,0.0362959,-0.215517,0.276707,0.0638691,0.298357,0.027993,0.298357,0.027993,0.24351,-0.0358762,0.0401198,0.00409198,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,0,2,2,highest
mlp_residual,mlp_residual,64,0.125,0.0477343,-0.267897,0.337111,0.0271775,0.367018,-0.0937771,0.367018,-0.0937771,0.17412,-0.120955,0.0504831,0.00703014,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,0,3,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.103032,-0.207286,0.272135,0.0169778,0.267681,-0.0440209,0.272135,0.0169778,0.224263,0,0.0500614,0.00516087,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,0,4,2,highest
mlp_residual,ridge_value_recovery,64,0.125,-0.345211,-0.873687,0.45302,-0.0169116,0.392065,-0.24247,0.45302,-0.0169116,0.856775,0,0.0546538,0.00224519,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,0,5,2,highest
mlp_residual,mlp_residual,64,0.125,0.0259999,-0.19849,0.197468,0.0303534,0.202718,0.0134276,0.202718,0.0134276,0.211917,-0.0169259,0.0445097,0.00659991,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,0,6,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.0908543,-0.255836,0.261108,-0.0206479,0.25596,-0.108361,0.261108,-0.0206479,0.235188,0,0.0441943,0.003327,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,0,7,2,highest
