run_name,decision,heads,budgets,start_layer,end_layer,max_heads,mean_budget_fraction,mean_direct_val_r2,mean_fitv_val_r2,mean_recovery_val_r2,p50_recovery_val_r2,p90_recovery_val_r2,recovery_val_ge_accept,mean_recovery_gain_vs_direct,mean_recovery_gain_vs_fitv,run_dir
recovery_probe_2docs_l24_b256_fused_smoke_latest,RECOVERY_NEEDS_TASK_SMOKE,16,256,24,0,8,0.500000,0.299909,0.185245,0.308459,0.401168,0.599278,0.250000,0.008550,0.123215,experiments/light_doc_cache/recovery_probe_2docs_l24_b256_fused_smoke_latest
recovery_probe_2docs_l24_b192_fused_smoke_latest,RECOVERY_NEEDS_TASK_SMOKE,16,192,24,0,8,0.375000,0.221008,0.208658,0.265002,0.327632,0.562066,0.125000,0.043995,0.056344,experiments/light_doc_cache/recovery_probe_2docs_l24_b192_fused_smoke_latest
recovery_probe_2docs_l24_b128_fused_smoke_latest,RECOVERY_NEEDS_TASK_SMOKE,16,128,24,0,8,0.250000,0.093585,0.217924,0.229531,0.279215,0.508698,0.125000,0.135945,0.011607,experiments/light_doc_cache/recovery_probe_2docs_l24_b128_fused_smoke_latest
recovery_probe_2docs_l24_fused_smoke_latest,RECOVERY_NEEDS_TASK_SMOKE,16,64,24,0,8,0.125000,-0.269401,0.163613,0.164746,0.207830,0.414094,0.062500,0.434147,0.001133,experiments/light_doc_cache/recovery_probe_2docs_l24_fused_smoke_latest
recovery_probe_2docs_l24_smoke_latest,RECOVERY_NEEDS_TASK_SMOKE,16,64,24,0,8,0.125000,-0.269401,0.163613,0.163877,0.207830,0.414094,0.062500,0.433278,0.000264,experiments/light_doc_cache/recovery_probe_2docs_l24_smoke_latest
recovery_probe_2docs_l12_smoke_latest,RECOVERY_NEEDS_TASK_SMOKE,16,64,12,0,8,0.125000,-0.268891,0.157513,0.160545,0.227304,0.303670,0.000000,0.429436,0.003032,experiments/light_doc_cache/recovery_probe_2docs_l12_smoke_latest
recovery_probe_2docs_l8_smoke_latest,RECOVERY_NEEDS_TASK_SMOKE,16,64,8,0,8,0.125000,-0.387378,0.113210,0.113829,0.102372,0.340062,0.000000,0.501207,0.000618,experiments/light_doc_cache/recovery_probe_2docs_l8_smoke_latest
recovery_probe_2docs_l20_smoke_latest,RECOVERY_WEAK,16,64,20,0,8,0.125000,-0.450792,0.093185,0.093185,0.094313,0.328719,0.000000,0.543977,0.000000,experiments/light_doc_cache/recovery_probe_2docs_l20_smoke_latest
recovery_probe_2docs_l10_learnedv_smoke_latest,RECOVERY_WEAK,16,64,10,0,8,0.125000,-0.653042,0.086210,0.086210,0.057598,0.372534,0.062500,0.739251,0.000000,experiments/light_doc_cache/recovery_probe_2docs_l10_learnedv_smoke_latest
recovery_probe_2docs_l10_smoke_latest,RECOVERY_WEAK,16,64,10,0,8,0.125000,-0.653042,0.086210,0.086210,0.057598,0.372534,0.062500,0.739251,0.000000,experiments/light_doc_cache/recovery_probe_2docs_l10_smoke_latest
recovery_probe_2docs_l16_smoke_latest,RECOVERY_WEAK,16,64,16,0,8,0.125000,-0.320440,0.085590,0.085590,0.083685,0.233594,0.000000,0.406030,0.000000,experiments/light_doc_cache/recovery_probe_2docs_l16_smoke_latest
recovery_probe_2docs_l4_smoke_latest,RECOVERY_WEAK,16,64,4,0,8,0.125000,-0.444150,0.014346,0.014346,-0.057020,0.290980,0.000000,0.458496,0.000000,experiments/light_doc_cache/recovery_probe_2docs_l4_smoke_latest
recovery_probe_2docs_smoke_latest,RECOVERY_WEAK,16,64,0,0,8,0.125000,-0.391191,0.003299,-0.049135,-0.011152,0.027993,0.000000,0.342056,-0.052434,experiments/light_doc_cache/recovery_probe_2docs_smoke_latest
