variant=distractor model=/data00/home/sitian/.ms_cache/Qwen/Qwen3-8B seq_len=8192 model_answered_correctly=False
classification=DISCRIMINATIVE
layer  gran    k/L |  cov_ph  cov_sh cov_bad  covmrg | mass_ph mass_bad  massmrg | disc
    0   256   3.1% |   0.000   0.000   0.000  +0.000 |  0.6776   0.6776  +0.0000 |   no
    0   256   6.2% |   0.000   0.000   0.000  +0.000 |  0.6776   0.7196  -0.0420 |   no
    0   256  12.5% |   0.000   0.000   0.000  +0.000 |  0.7328   0.7703  -0.0375 |   no
    0   256  25.0% |   0.000   0.000   0.250  -0.250 |  0.7989   0.8616  -0.0627 |   no
    0   256  50.0% |   0.250   0.000   0.500  -0.250 |  0.9044   0.9335  -0.0291 |   no
    0    64   2.3% |   0.000   0.000   0.000  +0.000 |  0.5732   0.6409  -0.0677 |   no
    0    64   4.7% |   0.000   0.000   0.000  +0.000 |  0.6501   0.6942  -0.0441 |   no
    0    64  10.9% |   0.000   0.000   0.000  +0.000 |  0.7156   0.7591  -0.0435 |   no
    0    64  25.0% |   0.000   0.000   0.250  -0.250 |  0.8063   0.8616  -0.0553 |   no
    0    64  50.0% |   0.375   0.000   0.375  +0.000 |  0.9116   0.9327  -0.0212 |   no
    0    32   2.0% |   0.000   0.000   0.000  +0.000 |  0.5614   0.6239  -0.0625 |   no
    0    32   5.1% |   0.000   0.000   0.125  -0.125 |  0.6369   0.7003  -0.0634 |   no
    0    32  10.9% |   0.000   0.000   0.000  +0.000 |  0.7106   0.7591  -0.0485 |   no
    0    32  25.0% |   0.000   0.000   0.125  -0.125 |  0.8055   0.8616  -0.0561 |   no
    0    32  50.0% |   0.125   0.000   0.125  +0.000 |  0.9100   0.9326  -0.0227 |   no
    7   256   3.1% |   0.000   0.000   0.000  +0.000 |  0.9399   0.9399  +0.0000 |   no
    7   256   6.2% |   0.000   0.000   0.000  +0.000 |  0.9399   0.9399  +0.0000 |   no
    7   256  12.5% |   0.375   0.000   0.250  +0.125 |  0.9510   0.9476  +0.0034 |   no
    7   256  25.0% |   0.625   1.000   0.125  +0.875 |  0.9619   0.9605  +0.0014 |  yes
    7   256  50.0% |   1.000   1.000   0.500  +0.500 |  0.9831   0.9739  +0.0092 |  yes
    7    64   2.3% |   0.375   0.000   0.000  +0.375 |  0.9391   0.9364  +0.0028 |   no
    7    64   4.7% |   0.625   1.000   0.000  +1.000 |  0.9455   0.9466  -0.0011 |  yes
    7    64  10.9% |   0.875   1.000   0.250  +0.750 |  0.9554   0.9468  +0.0087 |  yes
    7    64  25.0% |   1.000   1.000   0.500  +0.500 |  0.9718   0.9606  +0.0112 |  yes
    7    64  50.0% |   1.000   1.000   0.625  +0.375 |  0.9852   0.9735  +0.0118 |   no
    7    32   2.0% |   0.625   1.000   0.125  +0.875 |  0.9390   0.9358  +0.0032 |  yes
    7    32   5.1% |   0.875   1.000   0.125  +0.875 |  0.9478   0.9401  +0.0077 |  yes
    7    32  10.9% |   1.000   1.000   0.000  +1.000 |  0.9600   0.9464  +0.0136 |  yes
    7    32  25.0% |   1.000   1.000   0.375  +0.625 |  0.9715   0.9602  +0.0114 |  yes
    7    32  50.0% |   1.000   1.000   0.625  +0.375 |  0.9856   0.9731  +0.0125 |   no
   14   256   3.1% |   0.000   0.000   0.000  +0.000 |  0.8969   0.8969  +0.0000 |   no
   14   256   6.2% |   0.000   0.000   0.000  +0.000 |  0.8969   0.8969  +0.0000 |   no
   14   256  12.5% |   0.375   1.000   0.000  +1.000 |  0.9194   0.9023  +0.0171 |  yes
   14   256  25.0% |   0.750   1.000   0.500  +0.500 |  0.9599   0.9227  +0.0372 |  yes
   14   256  50.0% |   0.875   1.000   0.625  +0.375 |  0.9759   0.9715  +0.0044 |   no
   14    64   2.3% |   0.375   1.000   0.000  +1.000 |  0.8984   0.8941  +0.0044 |  yes
   14    64   4.7% |   0.625   1.000   0.125  +0.875 |  0.9217   0.9430  -0.0213 |  yes
   14    64  10.9% |   0.750   1.000   0.125  +0.875 |  0.9496   0.9011  +0.0485 |  yes
   14    64  25.0% |   1.000   1.000   0.625  +0.375 |  0.9663   0.9382  +0.0282 |   no
   14    64  50.0% |   1.000   1.000   0.625  +0.375 |  0.9820   0.9410  +0.0410 |   no
   14    32   2.0% |   0.625   1.000   0.125  +0.875 |  0.9086   0.8934  +0.0152 |  yes
