variant=distractor model=/data00/home/sitian/.ms_cache/Qwen/Qwen3-8B seq_len=8192 model_answered_correctly=False
classification=DISCRIMINATIVE
layer  gran    k/L  quest_ph  quest_sh  oracle  best_bad   margin  needle  disc
    0   256   3.1%    0.6776    0.6776  0.6776    0.6776  +0.0000   0.000    no
    0   256   6.2%    0.6776    0.6776  0.6776    0.7196  -0.0420   0.000    no
    0   256  12.5%    0.7328    0.7555  0.7489    0.7703  -0.0375   0.000    no
    0   256  25.0%    0.7989    0.8040  0.8548    0.8616  -0.0627   0.000    no
    0   256  50.0%    0.9044    0.9335  0.9313    0.9335  -0.0291   0.250    no
    0    64   2.3%    0.5732    0.5753  0.6040    0.6409  -0.0677   0.000    no
    0    64   4.7%    0.6501    0.6868  0.6807    0.6942  -0.0441   0.000    no
    0    64  10.9%    0.7156    0.7444  0.7634    0.7591  -0.0435   0.000    no
    0    64  25.0%    0.8063    0.8213  0.8637    0.8616  -0.0553   0.000    no
    0    64  50.0%    0.9116    0.9311  0.9392    0.9327  -0.0212   0.375    no
    0    32   2.0%    0.5614    0.5947  0.6005    0.6239  -0.0625   0.000    no
    0    32   5.1%    0.6369    0.6996  0.6954    0.7003  -0.0634   0.000    no
    0    32  10.9%    0.7106    0.7454  0.7745    0.7591  -0.0485   0.000    no
    0    32  25.0%    0.8055    0.8286  0.8710    0.8616  -0.0561   0.000    no
    0    32  50.0%    0.9100    0.9315  0.9424    0.9326  -0.0227   0.125    no
    7   256   3.1%    0.9399    0.9399  0.9399    0.9399  +0.0000   0.000    no
    7   256   6.2%    0.9399    0.9399  0.9399    0.9399  +0.0000   0.000    no
    7   256  12.5%    0.9510    0.9493  0.9562    0.9476  +0.0034   0.375    no
    7   256  25.0%    0.9619    0.9617  0.9737    0.9605  +0.0014   0.625    no
    7   256  50.0%    0.9831    0.9753  0.9872    0.9739  +0.0092   1.000    no
    7    64   2.3%    0.9391    0.9391  0.9407    0.9364  +0.0028   0.375    no
    7    64   4.7%    0.9455    0.9471  0.9535    0.9466  -0.0011   0.625    no
