variant=natural model=/data00/home/sitian/.ms_cache/Qwen/Qwen3-8B seq_len=8192 model_answered_correctly=True
classification=DISCRIMINATIVE
layer  gran    k/L |  cov_ph  cov_sh cov_bad  covmrg | mass_ph mass_bad  massmrg | disc
    0   256   3.1% |   0.000   0.000   0.000  +0.000 |  0.6751   0.6751  +0.0000 |   no
    0   256   6.2% |   0.000   0.000   0.000  +0.000 |  0.6751   0.7185  -0.0434 |   no
    0   256  12.5% |   0.000   0.000   0.000  +0.000 |  0.7291   0.7700  -0.0409 |   no
    0   256  25.0% |   0.000   0.000   0.250  -0.250 |  0.7955   0.8606  -0.0651 |   no
    0   256  50.0% |   0.125   0.000   0.500  -0.375 |  0.9073   0.9342  -0.0269 |   no
    0    64   2.3% |   0.000   0.000   0.000  +0.000 |  0.5676   0.6413  -0.0737 |   no
    0    64   4.7% |   0.000   0.000   0.000  +0.000 |  0.6404   0.6930  -0.0526 |   no
    0    64  10.9% |   0.000   0.000   0.000  +0.000 |  0.7255   0.7588  -0.0333 |   no
    0    64  25.0% |   0.000   0.000   0.250  -0.250 |  0.8032   0.8606  -0.0574 |   no
    0    64  50.0% |   0.375   0.000   0.375  +0.000 |  0.9151   0.9332  -0.0181 |   no
    0    32   2.0% |   0.000   0.000   0.000  +0.000 |  0.5564   0.6208  -0.0644 |   no
    0    32   5.1% |   0.000   0.000   0.125  -0.125 |  0.6372   0.6992  -0.0620 |   no
    0    32  10.9% |   0.000   0.000   0.000  +0.000 |  0.7122   0.7588  -0.0466 |   no
    0    32  25.0% |   0.000   0.000   0.125  -0.125 |  0.8065   0.8606  -0.0541 |   no
    0    32  50.0% |   0.000   0.000   0.125  -0.125 |  0.9129   0.9331  -0.0202 |   no
    7   256   3.1% |   0.000   0.000   0.000  +0.000 |  0.9347   0.9347  +0.0000 |   no
    7   256   6.2% |   0.000   0.000   0.000  +0.000 |  0.9347   0.9347  +0.0000 |   no
    7   256  12.5% |   0.625   1.000   0.250  +0.750 |  0.9443   0.9438  +0.0005 |  yes
    7   256  25.0% |   1.000   1.000   0.125  +0.875 |  0.9634   0.9561  +0.0073 |  yes
    7   256  50.0% |   1.000   1.000   0.500  +0.500 |  0.9792   0.9702  +0.0090 |  yes
    7    64   2.3% |   0.750   1.000   0.000  +1.000 |  0.9346   0.9297  +0.0049 |  yes
    7    64   4.7% |   1.000   1.000   0.000  +1.000 |  0.9388   0.9338  +0.0050 |  yes
    7    64  10.9% |   1.000   1.000   0.250  +0.750 |  0.9517   0.9423  +0.0093 |  yes
    7    64  25.0% |   1.000   1.000   0.500  +0.500 |  0.9666   0.9560  +0.0106 |  yes
    7    64  50.0% |   1.000   1.000   0.625  +0.375 |  0.9825   0.9693  +0.0132 |   no
    7    32   2.0% |   0.875   1.000   0.125  +0.875 |  0.9317   0.9287  +0.0030 |  yes
    7    32   5.1% |   1.000   1.000   0.125  +0.875 |  0.9432   0.9341  +0.0091 |  yes
    7    32  10.9% |   1.000   1.000   0.000  +1.000 |  0.9533   0.9416  +0.0117 |  yes
    7    32  25.0% |   1.000   1.000   0.375  +0.625 |  0.9684   0.9551  +0.0133 |  yes
    7    32  50.0% |   1.000   1.000   0.625  +0.375 |  0.9834   0.9685  +0.0149 |   no
   14   256   3.1% |   0.000   0.000   0.000  +0.000 |  0.9079   0.9079  +0.0000 |   no
   14   256   6.2% |   0.000   0.000   0.000  +0.000 |  0.9079   0.9079  +0.0000 |   no
   14   256  12.5% |   0.625   1.000   0.000  +1.000 |  0.9435   0.9152  +0.0283 |  yes
   14   256  25.0% |   0.625   1.000   0.500  +0.500 |  0.9514   0.9272  +0.0242 |  yes
   14   256  50.0% |   0.875   1.000   0.625  +0.375 |  0.9662   0.9685  -0.0023 |   no
   14    64   2.3% |   0.500   1.000   0.000  +1.000 |  0.9200   0.9055  +0.0145 |  yes
   14    64   4.7% |   0.625   1.000   0.125  +0.875 |  0.9377   0.9094  +0.0282 |  yes
   14    64  10.9% |   0.875   1.000   0.125  +0.875 |  0.9425   0.9214  +0.0212 |  yes
   14    64  25.0% |   1.000   1.000   0.625  +0.375 |  0.9614   0.9348  +0.0266 |   no
   14    64  50.0% |   1.000   1.000   0.625  +0.375 |  0.9780   0.9479  +0.0300 |   no
   14    32   2.0% |   0.625   1.000   0.125  +0.875 |  0.9334   0.9048  +0.0286 |  yes
   14    32   5.1% |   0.625   1.000   0.125  +0.875 |  0.9387   0.9169  +0.0218 |  yes
   14    32  10.9% |   0.750   1.000   0.125  +0.875 |  0.9461   0.9205  +0.0256 |  yes
   14    32  25.0% |   1.000   1.000   0.000  +1.000 |  0.9632   0.9255  +0.0377 |  yes
   14    32  50.0% |   1.000   1.000   0.625  +0.375 |  0.9794   0.9663  +0.0132 |   no
   21   256   3.1% |   0.000   0.000   0.000  +0.000 |  0.7478   0.7478  +0.0000 |   no
   21   256   6.2% |   0.000   0.000   0.000  +0.000 |  0.7478   0.7478  +0.0000 |   no
   21   256  12.5% |   0.125   0.000   0.000  +0.125 |  0.8424   0.7563  +0.0861 |   no
   21   256  25.0% |   0.500   1.000   0.375  +0.625 |  0.9399   0.8038  +0.1361 |  yes
   21   256  50.0% |   0.875   1.000   0.250  +0.750 |  0.9834   0.8502  +0.1332 |  yes
   21    64   2.3% |   0.125   0.000   0.000  +0.125 |  0.7933   0.7495  +0.0438 |   no
   21    64   4.7% |   0.125   0.000   0.000  +0.125 |  0.8747   0.7465  +0.1282 |   no
   21    64  10.9% |   0.750   1.000   0.000  +1.000 |  0.9555   0.7575  +0.1980 |  yes
   21    64  25.0% |   0.875   1.000   0.125  +0.875 |  0.9727   0.8146  +0.1581 |  yes
   21    64  50.0% |   1.000   1.000   0.625  +0.375 |  0.9876   0.8881  +0.0995 |   no
   21    32   2.0% |   0.125   0.000   0.000  +0.125 |  0.8447   0.7433  +0.1014 |   no
