variant=repetitive model=/data00/home/sitian/.ms_cache/Qwen/Qwen3-8B seq_len=8192 model_answered_correctly=True
classification=DISCRIMINATIVE
layer  gran    k/L |  cov_ph  cov_sh cov_bad  covmrg | mass_ph mass_bad  massmrg | disc
    0   256   3.1% |   0.000   0.000   0.000  +0.000 |  0.6724   0.6724  +0.0000 |   no
    0   256   6.2% |   0.000   0.000   0.000  +0.000 |  0.6724   0.7194  -0.0470 |   no
    0   256  12.5% |   0.000   0.000   0.000  +0.000 |  0.7360   0.7719  -0.0359 |   no
    0   256  25.0% |   0.125   0.000   0.250  -0.125 |  0.8008   0.8633  -0.0626 |   no
    0   256  50.0% |   0.375   0.000   0.500  -0.125 |  0.9110   0.9344  -0.0234 |   no
    0    64   2.3% |   0.000   0.000   0.000  +0.000 |  0.5683   0.6360  -0.0677 |   no
    0    64   4.7% |   0.000   0.000   0.000  +0.000 |  0.6657   0.6913  -0.0257 |   no
    0    64  10.9% |   0.000   0.000   0.000  +0.000 |  0.7310   0.7620  -0.0310 |   no
    0    64  25.0% |   0.250   0.000   0.250  +0.000 |  0.8065   0.8633  -0.0569 |   no
    0    64  50.0% |   0.625   1.000   0.375  +0.625 |  0.9128   0.9344  -0.0216 |  yes
    0    32   2.0% |   0.000   0.000   0.000  +0.000 |  0.5435   0.6128  -0.0694 |   no
    0    32   5.1% |   0.000   0.000   0.125  -0.125 |  0.6484   0.6984  -0.0500 |   no
    0    32  10.9% |   0.000   0.000   0.000  +0.000 |  0.7192   0.7620  -0.0428 |   no
    0    32  25.0% |   0.000   0.000   0.125  -0.125 |  0.8145   0.8633  -0.0488 |   no
    0    32  50.0% |   0.250   0.000   0.125  +0.125 |  0.9162   0.9342  -0.0181 |   no
    7   256   3.1% |   0.000   0.000   0.000  +0.000 |  0.9367   0.9367  +0.0000 |   no
    7   256   6.2% |   0.000   0.000   0.000  +0.000 |  0.9367   0.9367  +0.0000 |   no
    7   256  12.5% |   0.875   1.000   0.250  +0.750 |  0.9486   0.9464  +0.0022 |  yes
    7   256  25.0% |   1.000   1.000   0.125  +0.875 |  0.9623   0.9584  +0.0039 |  yes
    7   256  50.0% |   1.000   1.000   0.500  +0.500 |  0.9820   0.9752  +0.0069 |  yes
    7    64   2.3% |   0.875   1.000   0.000  +1.000 |  0.9365   0.9324  +0.0040 |  yes
    7    64   4.7% |   1.000   1.000   0.000  +1.000 |  0.9399   0.9364  +0.0036 |  yes
    7    64  10.9% |   1.000   1.000   0.250  +0.750 |  0.9499   0.9453  +0.0045 |  yes
    7    64  25.0% |   1.000   1.000   0.500  +0.500 |  0.9676   0.9585  +0.0091 |  yes
    7    64  50.0% |   1.000   1.000   0.625  +0.375 |  0.9832   0.9749  +0.0083 |   no
    7    32   2.0% |   1.000   1.000   0.125  +0.875 |  0.9365   0.9316  +0.0049 |  yes
    7    32   5.1% |   1.000   1.000   0.125  +0.875 |  0.9426   0.9370  +0.0056 |  yes
    7    32  10.9% |   1.000   1.000   0.000  +1.000 |  0.9529   0.9447  +0.0082 |  yes
    7    32  25.0% |   1.000   1.000   0.375  +0.625 |  0.9681   0.9578  +0.0102 |  yes
    7    32  50.0% |   1.000   1.000   0.625  +0.375 |  0.9843   0.9743  +0.0100 |   no
   14   256   3.1% |   0.000   0.000   0.000  +0.000 |  0.9461   0.9461  +0.0000 |   no
   14   256   6.2% |   0.000   0.000   0.000  +0.000 |  0.9461   0.9461  +0.0000 |   no
   14   256  12.5% |   0.750   1.000   0.000  +1.000 |  0.9749   0.9499  +0.0250 |  yes
   14   256  25.0% |   0.875   1.000   0.500  +0.500 |  0.9813   0.9573  +0.0241 |  yes
   14   256  50.0% |   1.000   1.000   0.625  +0.375 |  0.9891   0.9806  +0.0085 |   no
   14    64   2.3% |   0.375   1.000   0.000  +1.000 |  0.9512   0.9471  +0.0041 |  yes
   14    64   4.7% |   1.000   1.000   0.125  +0.875 |  0.9688   0.9448  +0.0240 |  yes
   14    64  10.9% |   1.000   1.000   0.125  +0.875 |  0.9756   0.9522  +0.0234 |  yes
   14    64  25.0% |   1.000   1.000   0.625  +0.375 |  0.9823   0.9592  +0.0231 |   no
   14    64  50.0% |   1.000   1.000   0.625  +0.375 |  0.9894   0.9659  +0.0235 |   no
   14    32   2.0% |   0.750   1.000   0.125  +0.875 |  0.9612   0.9410  +0.0202 |  yes
