variant=repetitive model=/data00/home/sitian/.ms_cache/Qwen/Qwen3-8B seq_len=8192 model_answered_correctly=True
classification=DISCRIMINATIVE
layer  gran    k/L  quest_ph  quest_sh  oracle  best_bad   margin  needle  disc
    0   256   3.1%    0.6724    0.6724  0.6724    0.6724  +0.0000   0.000    no
    0   256   6.2%    0.6724    0.6724  0.6724    0.7194  -0.0470   0.000    no
    0   256  12.5%    0.7360    0.7582  0.7539    0.7719  -0.0359   0.000    no
    0   256  25.0%    0.8008    0.8092  0.8540    0.8633  -0.0626   0.125    no
    0   256  50.0%    0.9110    0.9344  0.9322    0.9344  -0.0234   0.375    no
    0    64   2.3%    0.5683    0.5977  0.5780    0.6360  -0.0677   0.000    no
    0    64   4.7%    0.6657    0.6841  0.6763    0.6913  -0.0257   0.000    no
    0    64  10.9%    0.7310    0.7534  0.7668    0.7620  -0.0310   0.000    no
    0    64  25.0%    0.8065    0.8236  0.8703    0.8633  -0.0569   0.250    no
    0    64  50.0%    0.9128    0.9333  0.9404    0.9344  -0.0216   0.625    no
    0    32   2.0%    0.5435    0.5748  0.5852    0.6128  -0.0694   0.000    no
    0    32   5.1%    0.6484    0.6989  0.6953    0.6984  -0.0500   0.000    no
    0    32  10.9%    0.7192    0.7510  0.7757    0.7620  -0.0428   0.000    no
    0    32  25.0%    0.8145    0.8350  0.8754    0.8633  -0.0488   0.000    no
    0    32  50.0%    0.9162    0.9336  0.9434    0.9342  -0.0181   0.250    no
    7   256   3.1%    0.9367    0.9367  0.9367    0.9367  +0.0000   0.000    no
    7   256   6.2%    0.9367    0.9367  0.9367    0.9367  +0.0000   0.000    no
    7   256  12.5%    0.9486    0.9448  0.9506    0.9464  +0.0022   0.875    no
    7   256  25.0%    0.9623    0.9611  0.9672    0.9584  +0.0039   1.000    no
    7   256  50.0%    0.9820    0.9768  0.9846    0.9752  +0.0069   1.000    no
    7    64   2.3%    0.9365    0.9356  0.9370    0.9324  +0.0040   0.875    no
    7    64   4.7%    0.9399    0.9385  0.9450    0.9364  +0.0036   1.000    no
    7    64  10.9%    0.9499    0.9469  0.9580    0.9453  +0.0045   1.000    no
    7    64  25.0%    0.9676    0.9629  0.9737    0.9585  +0.0091   1.000    no
    7    64  50.0%    0.9832    0.9802  0.9876    0.9749  +0.0083   1.000    no
    7    32   2.0%    0.9365    0.9344  0.9390    0.9316  +0.0049   1.000    no
    7    32   5.1%    0.9426    0.9413  0.9497    0.9370  +0.0056   1.000    no
    7    32  10.9%    0.9529    0.9479  0.9609    0.9447  +0.0082   1.000    no
    7    32  25.0%    0.9681    0.9643  0.9757    0.9578  +0.0102   1.000    no
